ID,ADDITIONAL_DESCRIPTION
40942,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>F872 D/R RED, 18 RATIO, QUILL INPUT, BASE MOUNT</td> </tr> <tr> <th>Ratio</th> <td>18</td> </tr> <tr> <th>Input HP</th> <td>5</td> </tr> <tr> <th>Output Torque (LB-IN)</th> <td>3096</td> </tr> <tr> <th>Output RPM @1750</th> <td>97</td> </tr> <tr> <th>Bore Code</th> <td>B9</td> </tr> <tr> <th>Reduction</th> <td>Double</td> </tr> <tr> <th>Style</th> <td>Base Mounted</td> </tr> <tr> <th>Input Style</th> <td>Quill</td> </tr> <tr> <th>NEMA Mounting</th> <td>180TC/210C</td> </tr> <tr> <th>Overhung Load</th> <td>1275</td> </tr> <tr> <th>Oil Capacity</th> <td>2.6</td> </tr> <tr> <th>Weight</th> <td>99</td> </tr> </tbody> </table> "
47210,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 5:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>350</td> </tr> <tr> <th>Ratio</th> <td>5</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>675</td> </tr> </tbody> </table> "
47211,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 5:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>350</td> </tr> <tr> <th>Ratio</th> <td>5</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>675</td> </tr> </tbody> </table> "
47212,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 10:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>175</td> </tr> <tr> <th>Ratio</th> <td>10</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>968</td> </tr> </tbody> </table> "
47213,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 10:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>175</td> </tr> <tr> <th>Ratio</th> <td>10</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>968</td> </tr> </tbody> </table> "
47214,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 10:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>175</td> </tr> <tr> <th>Ratio</th> <td>10</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>968</td> </tr> </tbody> </table> "
47215,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 15:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>116.7</td> </tr> <tr> <th>Ratio</th> <td>15</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>900</td> </tr> </tbody> </table> "
47216,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 15:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>116.7</td> </tr> <tr> <th>Ratio</th> <td>15</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>900</td> </tr> </tbody> </table>"
47217,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 15:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>116.7</td> </tr> <tr> <th>Ratio</th> <td>15</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>900</td> </tr> </tbody> </table> "
47218,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 20:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>87.5</td> </tr> <tr> <th>Ratio</th> <td>20</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1069</td> </tr> </tbody> </table> "
47219,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 20:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>87.5</td> </tr> <tr> <th>Ratio</th> <td>20</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1069</td> </tr> </tbody> </table> "
47220,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 20:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>87.5</td> </tr> <tr> <th>Ratio</th> <td>20</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1069</td> </tr> </tbody> </table> "
47221,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 25:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>70</td> </tr> <tr> <th>Ratio</th> <td>25</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1056</td> </tr> </tbody> </table> "
47222,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 25:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>70</td> </tr> <tr> <th>Ratio</th> <td>25</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1056</td> </tr> </tbody> </table> "
47223,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 25:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>70</td> </tr> <tr> <th>Ratio</th> <td>25</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1056</td> </tr> </tbody> </table> "
47272,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 30:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>980</td> </tr> </tbody> </table> "
47226,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 30:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>980</td> </tr> </tbody> </table> "
47227,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 40:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>43.8</td> </tr> <tr> <th>Ratio</th> <td>40</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1045</td> </tr> </tbody> </table> "
47228,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 40:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>43.8</td> </tr> <tr> <th>Ratio</th> <td>40</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1045</td> </tr> </tbody> </table> "
47229,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 40:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>43.8</td> </tr> <tr> <th>Ratio</th> <td>40</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1045</td> </tr> </tbody> </table> "
47230,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 50:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>35</td> </tr> <tr> <th>Ratio</th> <td>50</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1034</td> </tr> </tbody> </table> "
47231,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 50:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>35</td> </tr> <tr> <th>Ratio</th> <td>50</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1034</td> </tr> </tbody> </table> "
47232,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 50:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>35</td> </tr> <tr> <th>Ratio</th> <td>50</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1034</td> </tr> </tbody> </table> "
47233,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 60:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>29.2</td> </tr> <tr> <th>Ratio</th> <td>60</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>979</td> </tr> </tbody> </table>"
47234,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 60:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>29.2</td> </tr> <tr> <th>Ratio</th> <td>60</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>979</td> </tr> </tbody> </table> "
47235,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 60:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>29.2</td> </tr> <tr> <th>Ratio</th> <td>60</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>979</td> </tr> </tbody> </table> "
47236,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 5:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>350</td> </tr> <tr> <th>Ratio</th> <td>5</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>900</td> </tr> </tbody> </table> "
