id,additional_description,,,,,,,,,,,,,,,,
1750218,"<p> Specifications Length - 6"" Width - 2. 25"" Weight - 0. 4 lbs. </p> <p> Description The Quarrow Braided Line Cutting Pliers easily and safely cut braided fishing lines. Stainless steel blades resist water corrosion. This is a great addition to any tackle box. Compact enough to fit into your pocket, these pliers have 7 tools essential to any fisherman or woman. The Braided Line Cutting Pliers are a compact, innovative 7-in1 tool featuring: split ring pliers, braided line cutters, wire cutters, wire crimper, knife blade, file and a flat-head screwdriver. &nbsp;Perfectly convenient, the Braided Line Cutting Pliers can easily go with you wherever you go. Locking split nose for gripping split rings, crimping, punching and mono filament / braided line cutting. Long, narrow serrated jaws hold and cut new generation braided fishing lines, even in tight places. Spring-loaded action with lock for added versatility, this tool is made of the finest 420 stainless steel. Quarrow Braided Line Cutting Pliers designed for every angler. </p> <p> Features </p> <ul> <li>7 tools in 1: <ul> <li>Bent Nose Split Ring Pliers</li> <li>Braided Line Cutters</li> <li>Wire Cutters</li> <li>Wire Crimper</li> <li>Knife Blade</li> <li>File</li> <li>Flat-Head Screwdriver</li> </ul> </li> <li>Spring-loaded actions with lock for added versatility. </li> </ul>",,,,,,,,,,,,,,,,
2972069,"<p> The All-in-One, Work Light, Lantern and&nbsp; Flashlight </p> With 4X Adjustable Zoom! Introducing the newest member of the TWYST Lineup TWYST Z. The TWYST Z features the same COB lighting options as the original TWYST: a high-power work light, lantern and a flashlight! The TWYST Z now features a 4x adjustable zoom. A powerful magnetic base also provides convenient hands-free lighting. TWYST Z shaping light like never before! <p> LIGHT <ul><li> 75 lumen COB Work Light</li> <li> 200 lumen COB LED Lantern</li> <li> 200 lumen Flashlight</li></ul></p> <p> LIGHT MODES <br /> <br /> Work Light (120&ordm; Light Coverage) <ul><li> HIGH: 75 lumens - 10 Hours / 11 Meters</li> <li> LOW: 10 lumens - 26 Hours / 4 Meters</li></ul></p> <p> Lantern (360&ordm; Light Coverage) <ul><li> HIGH: 200 Lumens - 2 Hours / 13 Meters</li> <li> LOW: 20 Lumens - 13 Hours / 4 Meters</li></ul></p> <p> Flashlight <ul><li> HIGH: 200 Lumens - 2 Hours / 107 Meters</li> <li> LOW: 20 Lumens - 20 Hours / 34 Meters</li></ul></p> <p> DESIGN <ul><li> 4x adjustable zoom</li> <li> Enhanced COB LED Technology</li> <li> Tactical edge</li> <li> Fully dimmable beam</li> <li> Anodized aircraft-grade aluminum;&nbsp;</li> water and impact-resistant<ul><li> Powerful magnetic base</li></ul></p> <p> OPERATION <ul><li> Side-positioned ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 4 AAA batteries (included)</li></ul></p> <p> SPECS <ul><li> Length: 6. 3125"" (compacted) / 6. 75"" (extended)</li> <li> Diameter: Barrel - 1"" / Head - 1. 75""</li> <li> 0. 55 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972058,"<p> The All-in-One, Work Light, Lantern and&nbsp; Flashlight </p> With 4X Adjustable Zoom! Introducing the newest member of the TWYST Lineup TWYST Z. The TWYST Z features the same COB lighting options as the original TWYST: a high-power work light, lantern and a flashlight! The TWYST Z now features a 4x adjustable zoom. A powerful magnetic base also provides convenient hands-free lighting. TWYST Z shaping light like never before! <p> LIGHT <ul><li> 75 lumen COB Work Light</li> <li> 200 lumen COB LED Lantern</li> <li> 200 lumen Flashlight</li></ul></p> <p> LIGHT MODES <br /> <br /> Work Light (120&ordm; Light Coverage) <ul><li> HIGH: 75 lumens - 10 Hours / 11 Meters</li> <li> LOW: 10 lumens - 26 Hours / 4 Meters</li></ul></p> <p> Lantern (360&ordm; Light Coverage) <ul><li> HIGH: 200 Lumens - 2 Hours / 13 Meters</li> <li> LOW: 20 Lumens - 13 Hours / 4 Meters</li></ul></p> <p> Flashlight <ul><li> HIGH: 200 Lumens - 2 Hours / 107 Meters</li> <li> LOW: 20 Lumens - 20 Hours / 34 Meters</li></ul></p> <p> DESIGN <ul><li> 4x adjustable zoom</li> <li> Enhanced COB LED Technology</li> <li> Tactical edge</li> <li> Fully dimmable beam</li> <li> Anodized aircraft-grade aluminum;&nbsp;</li> water and impact-resistant<ul><li> Powerful magnetic base</li></ul></p> <p> OPERATION <ul><li> Side-positioned ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 4 AAA batteries (included)</li></ul></p> <p> SPECS <ul><li> Length: 6. 3125"" (compacted) / 6. 75"" (extended)</li> <li> Diameter: Barrel - 1"" / Head - 1. 75""</li> <li> 0. 55 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972062,"<p> This model is for the iPhone 6 &amp; iPhone 6S </p> <p>The NEBO CaseBrite offers more than just protection for your mobile device. The CaseBrite features a high-power, 200 lumen C<li>O&bull;B flashlight that is up to 12x brighter than a standard smart phone light. Designed specifically to not draw from your phone&rsquo;s battery, each CaseBrite&nbsp;is independently powered by an internal, rechargeable lithium-ion battery. </li></ul></p> <p> LIGHT <ul><li> High-power 200 lumen C&bull;O&bull;B LED</li></ul></p> <p> LIGHT MODES <ul><li> 100% (200 lumens) - 3 hours</li> <li> 10% (20 lumens) - 24 hours</li> <li> Strobe (200 lumens) - 7 hours</li></ul></p> <p> DESIGN <ul><li> Impact-resistant, non-slip rubber case</li> <li> Screen protection lip</li> <li> Fully dimmable</li> <li> Slim 15mm profile</li> <li> Battery life indicator</li> <li> Fits iPhone 6 &amp; iPhone 6S</li></ul></p> <p> OPERATION <ul><li> Rear-positioned, ON/OFF button</li></ul></p> <p> ACCESSORIES <ul><li> USB to Micro USB charging cable (included)</li></ul></p> <p> BATTERIES <ul><li> Internal, rechargeable lithium-ion battery (Recharge time - up to 3 hours)</li></ul></p> <p> SPECS <ul><li> (H) 5. 5"" x (W) 2. 75"" x (D) 0. 6""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972047,"<p> This model is for the iPhone 6 Plus &amp; iPhone 6S Plus </p> <p>The NEBO CaseBrite offers more than just protection for your mobile device. The CaseBrite features a high-power, 200 lumen COB flashlight that is up to 12x brighter than a standard smart phone light. Designed specifically to not draw from your phone's battery, each CaseBrite&nbsp;is independently powered by an internal, rechargeable lithium-ion battery. </p> <p> LIGHT <ul><li> High-power 200 lumen COB LED</li></ul></p> <p> LIGHT MODES <ul><li> 100% (200 lumens) - 3 hours</li> <li> 10% (20 lumens) - 24 hours</li> <li> Strobe (200 lumens) - 7 hours</li></ul></p> <p> DESIGN <ul><li> Impact-resistant, non-slip rubber case</li> <li> Screen protection lip</li> <li> Fully dimmable</li> <li> Slim 15mm profile</li> <li> Battery life indicator</li> <li> Fits iPhone 6 Plus &amp; iPhone 6S Plus</li></ul></p> <p> OPERATION <ul><li> Rear-positioned, ON/OFF button</li></ul></p> <p> ACCESSORIES <ul><li> USB to Micro USB charging cable (included)</li></ul></p> <p> BATTERIES <ul><li> Internal, rechargeable lithium-ion battery (Recharge time - up to 3 hours)</li></ul></p> <p> SPECS <ul><li> (H) 6. 3125"" x (W) 3. 125"" x (D) 0. 6""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972063,"<p> This model is for the iPhone 6 Plus &amp; iPhone 6S Plus </p> <p>The NEBO CaseBrite offers more than just protection for your mobile device. The CaseBrite&nbsp;features a high-power, 200 lumen C<li>O&bull;B flashlight that is up to 12x brighter than a standard smart phone light. Designed specifically to not draw from your phone&rsquo;s battery, each CaseBrite&nbsp;is independently powered by an internal, rechargeable lithium-ion battery. </li></ul></p> <p> LIGHT <ul><li> High-power 200 lumen C&bull;O&bull;B LED</li></ul></p> <p> LIGHT MODES <ul><li> 100% (200 lumens) - 3 hours</li> <li> 10% (20 lumens) - 24 hours</li> <li> Strobe (200 lumens) - 7 hours</li></ul></p> <p> DESIGN <ul><li> Impact-resistant, non-slip rubber case</li> <li> Screen protection lip</li> <li> Fully dimmable</li> <li> Slim 15mm profile</li> <li> Battery life indicator</li> <li> Fits iPhone 6 Plus &amp; iPhone 6S Plus</li></ul></p> <p> OPERATION <ul><li> Rear-positioned, ON/OFF button</li></ul></p> <p> ACCESSORIES <ul><li> USB to Micro USB charging cable (included)</li></ul></p> <p> BATTERIES <ul><li> Internal, rechargeable lithium-ion battery (Recharge time - up to 3 hours)</li></ul></p> <p> SPECS <ul><li> (H) 6. 3125"" x (W) 3. 125"" x (D) 0. 6""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972080,"<p> This model is for the Samsung Galaxy 7 </p> <p>The NEBO CaseBrite offers more than just protection for your mobile device. The CaseBrite&nbsp;features a high-power, 200 lumen COB flashlight that is up to 400% brighter than a standard smart phone light. Designed specifically to not draw from your phone's battery, each CaseBrite&nbsp;is independently powered by an internal, rechargeable lithium-ion battery. </p> <p> LIGHT <ul><li> High-power 200 lumen COB LED</li></ul></p> <p> LIGHT MODES <ul><li> 100% (200 lumens) - 2. 25 hours</li> <li> 10% (20 lumens) - 20 hours</li> <li> Strobe (200 lumens) - 6 hours</li></ul></p> <p> DESIGN <ul><li> Impact-resistant, non-slip rubber case</li> <li> Screen protection lip</li> <li> Fully dimmable</li> <li> Slim 15mm profile</li> <li> Battery life indicator</li> <li> Fits Samsung Galaxy S7</li></ul></p> <p> OPERATION <ul><li> Rear-positioned, ON/OFF button</li></ul></p> <p> ACCESSORIES <ul><li> USB to Micro USB charging cable (included)</li></ul></p> <p> BATTERIES <ul><li> Internal, rechargeable lithium-ion battery (Recharge time - up to 3 hours)</li></ul></p> <p> SPECS <ul><li> (H) 5. 75"" x (W) 2. 875"" x (D) 0. 6""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2223276,"<p>All of the favorite features of the REDLINE series, all in one flashlight. This fully rechargeable flashlight offers a smart select dial, 4x adjustable beam and also acts as a power bank for your USB powered device. &nbsp;</p><p>LIGHT<ul><li>High-power 3100 LUX LED</li><li>New tactical light feature emits a green light from the button, perfect for low light situations</li></ul></p><p>LIGHT MODES<ul><li>High: 3100 LUX - 2. 5 Hours / 222 Meters</li><li>Medium: 1550 LUX - 6 Hours / 130 Meters</li><li>Low: 310 LUX - 15 Hours / 60 Meters</li><li>Strobe: 1395 LUX - 8 Hours / 125 Meters</li><li>Stealth Light: Green Light in Button - 120 Hours / 0. 9 Meters</li></ul></p><p>DESIGN<ul><li>Fully rechargeable</li><li>Power bank for your USB powered devices</li><li>Anodized aircraft-grade aluminum; water and impact-resistant</li><li>Convex lens</li><li>Heat sink design</li><li>Smart Select Dial</li><li>Tactical edge</li><li>4x adjustable beam</li><li>Steel belt/pocket clip</li><li>Anti-roll tactical grip ring</li><li>Magnetic base</li><li>Charging indicator tells charging status of flashlight</li>and your USB powered devices</ul></p><p>OPERATION<ul><li>Rear-positioned, glow-in-the-dark ON/OFF button</li></ul></p><p>ACCESSORIES<ul><li>AC &amp; USB cables included</li><li>Lanyard included</li></ul></p><p>BATTERIES<ul><li>Powered by 1 18650 Lithium Ion rechargeable battery (included)</li></ul></p>",,,,,,,,,,,,,,,,
2972037,"<p>All of the favorite features of the REDLINE series, all in one flashlight. This fully rechargeable flashlight offers a smart select dial, 4x adjustable beam and also acts as a power bank for your USB powered device.</p><p>LIGHT<ul><li>High-power 3100 LUX LED</li><li>New tactical light feature emits a green light from the button, perfect for low light situations</li></ul></p><p>LIGHT MODES<ul><li>High: 3100 LUX - 2. 5 Hours / 222 Meters</li><li>Medium: 1550 LUX - 6 Hours / 130 Meters</li><li>Low: 310 LUX - 15 Hours / 60 Meters</li><li>Strobe: 1395 LUX - 8 Hours / 125 Meters</li><li>Stealth Light: Green Light in Button - 120 Hours / 0. 9 Meters</li></ul></p><p>DESIGN<ul><li>Fully rechargeable</li><li>Power bank for your USB powered devices</li><li>Anodized aircraft-grade aluminum; water and impact-resistant</li><li>Convex lens</li><li>Heat sink design</li><li>Smart Select Dial</li><li>Tactical edge</li><li>4x adjustable beam</li><li>Steel belt/pocket clip</li><li>Anti-roll tactical grip ring</li><li>Magnetic base</li><li>Charging indicator tells charging status of flashlight</li>and your USB powered devices</ul></p><p>OPERATION<ul><li>Rear-positioned, glow-in-the-dark ON/OFF button</li></ul></p><p>ACCESSORIES<ul><li>AC &amp; USB cables included</li><li>Lanyard included</li></ul></p><p>BATTERIES<ul><li>Powered by 1 18650 Lithium Ion rechargeable battery (included)</li></ul></p>",,,,,,,,,,,,,,,,
2972035,"<p>Compact, handy and bright the LUMO Clip Light by NEBO is the perfect ""whatever you need it to be"" light. Key chain light, purse light, backpack light, book light&hellip;the possibilities are endless. This compact 25 lumen light comes with a carabiner attachment to clip anywhere you need. The white top of the LUMO is a diffuser dome. This dome helps spread the light evenly to create a more omnidirectional light source. LUMO Clip Light the brilliant clip light!</p><p>LIGHT<ul><li>High-power 25 lumen LED</li></ul></p><p>LIGHT MODE<ul><li>25 Lumens - 5 Hours / 3 Meters</li></ul></p><p>DESIGN<ul><li>Anodized aircraft-grade aluminum, water and impact-resistant</li><li>Carabiner clip</li><li>Glow-in-the-dark button</li><li>Diffuser dome</li></ul></p><p>OPERATION<ul><li>Rear-positioned glow-in-the-dark ON/OFF button</li></ul></p><p>BATTERIES<ul><li>Powered by 3 LR44 batteries (included)</li></ul></p><p>SPECS<ul><li>Length: 3. 625""</li><li>Diameter: 0. 75""</li><li>0. 2 lbs.</li></ul></p>",,,,,,,,,,,,,,,,
2972034,"<p>Compact, handy and bright the LUMO Clip Light by NEBO is the perfect ""whatever you need it to be"" light. Key chain light, purse light, backpack light, book light&hellip;the possibilities are endless. This compact 25 lumen light comes with a carabiner attachment to clip anywhere you need. The white top of the LUMO is a diffuser dome. This dome helps spread the light evenly to create a more omnidirectional light source. LUMO Clip Light the brilliant clip light!</p><p>LIGHT<ul><li>High-power 25 lumen LED</li></ul></p><p>LIGHT MODE<ul><li>25 Lumens - 5 Hours / 3 Meters</li></ul></p><p>DESIGN<ul><li>Anodized aircraft-grade aluminum, water and impact-resistant</li><li>Carabiner clip</li><li>Glow-in-the-dark button</li><li>Diffuser dome</li></ul></p><p>OPERATION<ul><li>Rear-positioned glow-in-the-dark ON/OFF button</li></ul></p><p>BATTERIES<ul><li>Powered by 3 LR44 batteries (included)</li></ul></p><p>SPECS<ul><li>Length: 3. 625""</li><li>Diameter: 0. 75""</li><li>0. 2 lbs.</li></ul></p>",,,,,,,,,,,,,,,,
2972033,"<p>Compact, handy and bright the LUMO Clip Light by NEBO is the perfect ""whatever you need it to be"" light. Key chain light, purse light, backpack light, book light&hellip;the possibilities are endless. This compact 25 lumen light comes with a carabiner attachment to clip anywhere you need. The white top of the LUMO is a diffuser dome. This dome helps spread the light evenly to create a more omnidirectional light source. LUMO Clip Light the brilliant clip light!</p><p>LIGHT<ul><li>High-power 25 lumen LED</li></ul></p><p>LIGHT MODE<ul><li>25 Lumens - 5 Hours / 3 Meters</li></ul></p><p>DESIGN<ul><li>Anodized aircraft-grade aluminum,</li>water and impact-resistant<li>Carabiner clip</li><li>Glow-in-the-dark button</li><li>Diffuser dome</li></ul></p><p>OPERATION<ul><li>Rear-positioned glow-in-the-dark ON/OFF button</li></ul></p><p>BATTERIES<ul><li>Powered by 3 LR44 batteries (included)</li></ul></p><p>SPECS<ul><li>Length: 3. 625""</li><li>Diameter: 0. 75""</li><li>0. 2 lbs.</li></ul></p>",,,,,,,,,,,,,,,,
2972032,"<p>Compact, handy and bright the LUMO Clip Light by NEBO is the perfect ""whatever you need it to be"" light. Key chain light, purse light, backpack light, book light&hellip;the possibilities are endless. This compact 25 lumen light comes with a carabiner attachment to clip anywhere you need. The white top of the LUMO is a diffuser dome. This dome helps spread the light evenly to create a more omnidirectional light source. LUMO Clip Light the brilliant clip light!</p><p>LIGHT<ul><li>High-power 25 lumen LED</li></ul></p><p>LIGHT MODE<ul><li>25 Lumens - 5 Hours / 3 Meters</li></ul></p><p>DESIGN<ul><li>Anodized aircraft-grade aluminum, water and impact-resistant</li><li>Carabiner clip</li><li>Glow-in-the-dark button</li><li>Diffuser dome</li></ul></p><p>OPERATION<ul><li>Rear-positioned glow-in-the-dark ON/OFF button</li></ul></p><p>BATTERIES<ul><li>Powered by 3 LR44 batteries (included)</li></ul></p><p>SPECS<ul><li>Length: 3. 625""</li><li>Diameter: 0. 75""</li><li>0. 2 lbs.</li></ul></p>",,,,,,,,,,,,,,,,
2972036,"<p>Compact, handy and bright the LUMO Clip Light by NEBO is the perfect ""whatever you need it to be"" light. Key chain light, purse light, backpack light, book light&hellip;the possibilities are endless. This compact 25 lumen light comes with a carabiner attachment to clip anywhere you need. The white top of the LUMO is a diffuser dome. This dome helps spread the light evenly to create a more omnidirectional light source. LUMO Clip Light the brilliant clip light!</p><p>LIGHT<ul><li>High-power 25 lumen LED</li></ul></p><p>LIGHT MODE<ul><li>25 Lumens - 5 Hours / 3 Meters</li></ul></p><p>DESIGN<ul><li>Anodized aircraft-grade aluminum, water and impact-resistant</li><li>Carabiner clip</li><li>Glow-in-the-dark button</li><li>Diffuser dome</li></ul></p><p>OPERATION<ul><li>Rear-positioned glow-in-the-dark ON/OFF button</li></ul></p><p>BATTERIES<ul><li>Powered by 3 LR44 batteries (included)</li></ul></p><p>SPECS<ul><li>Length: 3. 625""</li><li>Diameter: 0. 75""</li><li>0. 2 lbs.</li></ul></p>",,,,,,,,,,,,,,,,
2972039,"<p>Don't let the micro size fool you, the Micro REDLINE OC packs enough power to carry the REDLINE name. This light is small enough to fit in the palm of your hand, but bright enough for any situation. Equipped with OC Technology, the Micro has a perfectly dispersed beam of light while in flood mode. The Micro REDLINE OC small never shined so big!</p><p>LIGHT<ul><li>High-power 360 LUX LED</li></ul></p><p>DESIGN<ul><li>Anodized aircraft-grade aluminum; impact-resistant</li><li>OC Technology</li><li>Convex lens</li><li>6x adjustable zoom</li><li>Steel belt/pocket clip</li><li>Magnetic base</li></ul></p><p>OPERATION<ul><li>Rear-positioned glow-in-the-dark ON/OFF button with Soft Touch Technology</li></ul></p><p>BATTERIES<ul><li>Powered by 1 CR123A battery (included)</li></ul></p><p>SPECS<ul><li>Length: 2. 625""</li><li>Diameter: Barrel - 0. 8125"" / Head - 0. 875""</li><li>Weight: 0. 1 lbs.</li></ul></p>",,,,,,,,,,,,,,,,
2972075,"<p>Don't let the name fool you, LiL Larry packs enough power to take its rightful place, as the newest addition to the Larry family. LiL Larry is equipped with a 250 lumen COB work light, featuring 3 light modes: high, low and emergency red flash. The anodized aluminum body and recessed LED housing ensures that LiL Larry is ready for any task. </p> <p> LIGHT <ul><li> High-power 250 Lumen COB LED Work Light</li> <li> High-power COB LED emergency red flasher</li></ul></p> <p> DESIGN <ul><li> Water and impact-resistant</li> <li> Ergonomic non-slip grip</li> <li> Protective LED housing</li> <li> Steel belt/pocket clip</li> <li> Powerful magnetic base</li></ul></p> <p> OPERATION <ul><li> Top-positioned, ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 3 AAA batteries (included)</li></ul></p> <p> SPECS <ul><li> (H) 6. 0625"" x (W) 0. 625"" x (D) 1""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
