ID</li></ul>,ADDITIONAL_DESCRIPTION</li></ul>
2785337</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:13 Tooth 8/16 Spline</li><li>Output Shaft - Keyway:2.250 - 1/2 x 1/4</li><li>Product Name:SAE D Mount Overhung Load Adaptors</li></ul>
2785380</li></ul>,"<p>Specifications</p><ul><li>Continuous Torque (Nm):90</li><li>Coupling Size for Drawing References:30</li><li>D (Bolt):M10</li><li>D Torque (Nm):58.00</li><li>Material Map:a1c</li><li>Maximum Misalignments Angular (deg):2.0</li><li>Maximum Speed (RPM):9,500</li><li>Peak Torque (Nm):180</li><li>Product Name:Single Clamp Aluminum A1C Hubs</li><li>Torsional Stiffness (Nm/Rad):42,976</li><li>Torsional Stiffness (in-lb/deg):6,638</li></ul>"
2785381</li></ul>,"<p>Specifications</p><ul><li>Clamped Hub Unit inertia At 1/2 Max Bore (lb-in²):1.04</li><li>Clamped Hub Unit inertia At Max Bore (lb-in²):1.78</li><li>Continuous Rated Torque (Nm):90.4</li><li>Coupling Size for Drawing References:30</li><li>Material Map:aluminum</li><li>Maximum Speed Clamp Style Hub (RPM):9,500</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):180.8</li><li>Product Name:Single Clamp Aluminum Hubs</li><li>Torsional Stiffness (Nm/Rad):42,976</li><li>Torsional Stiffness (in-lb/deg):6,638</li></ul>"
2785383</li></ul>,"<p>Specifications</p><ul><li>Clamped Hub Unit inertia At Max Bore (lb-in²):3.11</li><li>Continuous Rated Torque (Nm):90.4</li><li>Coupling Size for Drawing References:30</li><li>Material Map:stainless steel</li><li>Maximum Speed Clamp Style Hub (RPM):8,000</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):180.8</li><li>Product Name:Single Clamp Stainless Steel Hubs</li><li>Torsional Stiffness (Nm/Rad):42,976</li><li>Torsional Stiffness (in-lb/deg):6,638</li></ul>"
2785384</li></ul>,"<p>Specifications</p><ul><li>A Hub Unit inertia At Max Bore (lb-in²):1.90</li><li>Continuous Rated Torque (Nm):90.4</li><li>Coupling Size for Drawing References:30</li><li>Material Map:always</li><li>Maximum Speed A & B Hub (RPM):9,000</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):180.8</li><li>Product Name:Single Set Screw Stainless Steel Hubs</li><li>Torsional Stiffness (Nm/Rad):42,976</li><li>Torsional Stiffness (in-lb/deg):6,638</li></ul>"
2785386</li></ul>,"<p>Specifications</p><ul><li>Continuous Torque (Nm):181</li><li>Coupling Size for Drawing References:37</li><li>D (Bolt):M12</li><li>D Torque (Nm):100.00</li><li>Material Map:a1c</li><li>Maximum Misalignments Angular (deg):2.0</li><li>Maximum Speed (RPM):8,000</li><li>Peak Torque (Nm):362</li><li>Product Name:Single Clamp Aluminum A1C Hubs</li><li>Torsional Stiffness (Nm/Rad):67,167</li><li>Torsional Stiffness (in-lb/deg):10,374</li></ul>"
2785387</li></ul>,"<p>Specifications</p><ul><li>Clamped Hub Unit inertia At 1/2 Max Bore (lb-in²):2.82</li><li>Clamped Hub Unit inertia At Max Bore (lb-in²):5.17</li><li>Continuous Rated Torque (Nm):180.8</li><li>Coupling Size for Drawing References:37</li><li>Material Map:aluminum</li><li>Maximum Speed Clamp Style Hub (RPM):8,000</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):361.6</li><li>Product Name:Single Clamp Aluminum Hubs</li><li>Torsional Stiffness (Nm/Rad):67,167</li><li>Torsional Stiffness (in-lb/deg):10,374</li></ul>"
2785389</li></ul>,"<p>Specifications</p><ul><li>Clamped Hub Unit inertia At Max Bore (lb-in²):9.62</li><li>Continuous Rated Torque (Nm):180.8</li><li>Coupling Size for Drawing References:37</li><li>Material Map:stainless steel</li><li>Maximum Speed Clamp Style Hub (RPM):6,700</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):361.6</li><li>Product Name:Single Clamp Stainless Steel Hubs</li><li>Torsional Stiffness (Nm/Rad):67,167</li><li>Torsional Stiffness (in-lb/deg):10,374</li></ul>"
2785390</li></ul>,"<p>Specifications</p><ul><li>Continuous Rated Torque (Nm):180.8</li><li>Maximum Speed (RPM):7,400</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):361.6</li><li>Product Name:Single QD Bushing Hubs</li><li>QD Bushing Type:JA</li><li>Torsional Stiffness (Nm/Rad):67,167</li><li>Torsional Stiffness (in-lb/deg):10,374</li></ul>"
2785339</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:0.625 - 5/32 x 5/64</li><li>Output Shaft - Keyway:1.00 - 1/4 x 1/8</li><li>Product Name:Model 200 SAE A Mount Overhung Load Adaptors</li></ul>
2785341</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:0.750 - 3/16 x 3/32</li><li>Output Shaft - Keyway:1.00 - 1/4 x 1/8</li><li>Product Name:Model 200 SAE A Mount Overhung Load Adaptors</li></ul>
2785344</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:1.00 - 1/4 x 1/8</li><li>Output Shaft - Keyway:1.00 Bore - 1/4 x 1/8</li><li>Product Name:Model 200 SAE A Mount Overhung Load Adaptors</li></ul>
2785346</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:0.750 - 3/16 x 3/32</li><li>Output Shaft - Keyway:1.50 - 3/8 x 3/16</li><li>Product Name:Model 200 SAE A Mount Overhung Load Adaptors</li></ul>
2785354</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:1.00 - 1/4 x 1/8</li><li>Output Shaft - Keyway:1.00 Bore - 1/4 x 1/8</li><li>Product Name:Non-SAE Mount Overhung Load Adaptor</li></ul>
2785355</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:1.00 - 1/4 x 1/8</li><li>Output Shaft - Keyway:1.50 - 3/8 x 3/16</li><li>Product Name:Non-SAE Mount Overhung Load Adaptor</li></ul>
2785356</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:14 Tooth 12/24 Spline</li><li>Output Shaft - Keyway:1.250 - 5/16 x 5/32</li><li>Product Name:Model 500 SAE A Mount Overhung Load Adaptors</li></ul>
2785357</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:1.250 - 5/16 x 5/32</li><li>Output Shaft - Keyway:1.250 - 5/16 x 5/32</li><li>Product Name:Model 500 SAE A Mount Overhung Load Adaptors</li></ul>
2785358</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:14 Tooth 12/24 Spline</li><li>Output Shaft - Keyway:1.500 - 3/8 x 3/16</li><li>Product Name:Model 500 SAE A Mount Overhung Load Adaptors</li></ul>
2785359</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:1.250 - 5/16 x 5/32</li><li>Output Shaft - Keyway:1.500 - 3/8 x 3/16</li><li>Product Name:Model 500 SAE A Mount Overhung Load Adaptors</li></ul>
2785360</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:13 Tooth 16/32 Spline</li><li>Output Shaft - Keyway:1.500 - 3/8 x 3/16</li><li>Product Name:SAE B Mount Overhung Load Adaptors</li></ul>
2785361</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:0.875 - 1/4 x 1/8</li><li>Output Shaft - Keyway:1.500 - 3/8 x 3/16</li><li>Product Name:SAE B Mount Overhung Load Adaptors</li></ul>
2785362</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:15 Tooth 16/32 Spline</li><li>Output Shaft - Keyway:1.500 - 3/8 x 3/16 1</li><li>Product Name:SAE B Mount Overhung Load Adaptors</li></ul>
2785363</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:1.000 - 1/4 x 1/8</li><li>Output Shaft - Keyway:1.500 - 3/8 x 3/16</li><li>Product Name:SAE B Mount Overhung Load Adaptors</li></ul>
2785364</li></ul>,<p>Specifications</p><ul><li>Input Bore - Keyway:1.250 - 5/16 x 5/32</li><li>Output Shaft - Keyway:1.500 - 3/8 x 3/16</li><li>Product Name:SAE B Mount Overhung Load Adaptors</li></ul>
2785365</li></ul>,<p>Specifications</p><ul><li>Product Name:SAE B Mount Overhung Load Adaptors</li></ul>
2785366</li></ul>,<p>Specifications</p><ul><li>Product Name:SAE B Mount Overhung Load Adaptors</li></ul>
2785368</li></ul>,"<p>Specifications</p><ul><li>Continuous Torque (Nm):20</li><li>Coupling Size for Drawing References:18</li><li>D (Bolt):M6</li><li>D Torque (Nm):13.00</li><li>Material Map:a1c</li><li>Maximum Misalignments Angular (deg):2.0</li><li>Maximum Speed (RPM):15,000</li><li>Peak Torque (Nm):40</li><li>Product Name:Single Clamp Aluminum A1C Hubs</li><li>Torsional Stiffness (Nm/Rad):11,650</li><li>Torsional Stiffness (in-lb/deg):1,800</li></ul>"
2785369</li></ul>,"<p>Specifications</p><ul><li>Clamped Hub Unit inertia At 1/2 Max Bore (lb-in²):0.13</li><li>Clamped Hub Unit inertia At Max Bore (lb-in²):0.15</li><li>Continuous Rated Torque (Nm):20.3</li><li>Coupling Size for Drawing References:18</li><li>Material Map:aluminum</li><li>Maximum Speed Clamp Style Hub (RPM):15,000</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):40.7</li><li>Product Name:Single Clamp Aluminum Hubs</li><li>Torsional Stiffness (Nm/Rad):11,650</li><li>Torsional Stiffness (in-lb/deg):1,800</li></ul>"
2785370</li></ul>,"<p>Specifications</p><ul><li>Clamped Hub Unit inertia At Max Bore (lb-in²):0.35</li><li>Continuous Rated Torque (Nm):20.3</li><li>Coupling Size for Drawing References:18</li><li>Material Map:steel</li><li>Maximum Speed Clamp Style Hub (RPM):12,000</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):40.7</li><li>Product Name:Single Clamp Steel Hubs</li><li>Torsional Stiffness (Nm/Rad):11,650</li><li>Torsional Stiffness (in-lb/deg):1,800</li></ul>"
2785372</li></ul>,"<p>Specifications</p><ul><li>Continuous Torque (Nm):30</li><li>Coupling Size for Drawing References:22</li><li>D (Bolt):M6</li><li>D Torque (Nm):13.00</li><li>Material Map:a1c</li><li>Maximum Misalignments Angular (deg):2.0</li><li>Maximum Speed (RPM):13,500</li><li>Peak Torque (Nm):60</li><li>Product Name:Single Clamp Aluminum A1C Hubs</li><li>Torsional Stiffness (Nm/Rad):17,352</li><li>Torsional Stiffness (in-lb/deg):2,680</li></ul>"
2785373</li></ul>,"<p>Specifications</p><ul><li>Clamped Hub Unit inertia At 1/2 Max Bore (lb-in²):0.31</li><li>Clamped Hub Unit inertia At Max Bore (lb-in²):0.50</li><li>Continuous Rated Torque (Nm):30.5</li><li>Coupling Size for Drawing References:22</li><li>Material Map:aluminum</li><li>Maximum Speed Clamp Style Hub (RPM):13,500</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):61.0</li><li>Product Name:Single Clamp Aluminum Hubs</li><li>Torsional Stiffness (Nm/Rad):17,352</li><li>Torsional Stiffness (in-lb/deg):2,680</li></ul>"
2785374</li></ul>,"<p>Specifications</p><ul><li>Clamped Hub Unit inertia At Max Bore (lb-in²):1.08</li><li>Continuous Rated Torque (Nm):30.5</li><li>Coupling Size for Drawing References:22</li><li>Material Map:steel</li><li>Maximum Speed Clamp Style Hub (RPM):11,000</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):61.0</li><li>Product Name:Single Clamp Steel Hubs</li><li>Torsional Stiffness (Nm/Rad):17,352</li><li>Torsional Stiffness (in-lb/deg):2,680</li></ul>"
2785376</li></ul>,"<p>Specifications</p><ul><li>Continuous Torque (Nm):53</li><li>Coupling Size for Drawing References:26</li><li>D (Bolt):M8</li><li>D Torque (Nm):32.00</li><li>Material Map:a1c</li><li>Maximum Misalignments Angular (deg):2.0</li><li>Maximum Speed (RPM):11,500</li><li>Peak Torque (Nm):106</li><li>Product Name:Single Clamp Aluminum A1C Hubs</li><li>Torsional Stiffness (Nm/Rad):20,100</li><li>Torsional Stiffness (in-lb/deg):3,100</li></ul>"
2785377</li></ul>,"<p>Specifications</p><ul><li>Clamped Hub Unit inertia At 1/2 Max Bore (lb-in²):0.45</li><li>Clamped Hub Unit inertia At Max Bore (lb-in²):0.68</li><li>Continuous Rated Torque (Nm):53.7</li><li>Coupling Size for Drawing References:26</li><li>Material Map:aluminum</li><li>Maximum Speed Clamp Style Hub (RPM):11,500</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):107.3</li><li>Product Name:Single Clamp Aluminum Hubs</li><li>Torsional Stiffness (Nm/Rad):20,100</li><li>Torsional Stiffness (in-lb/deg):3,100</li></ul>"
2785378</li></ul>,"<p>Specifications</p><ul><li>Clamped Hub Unit inertia At Max Bore (lb-in²):1.57</li><li>Continuous Rated Torque (Nm):53.7</li><li>Coupling Size for Drawing References:26</li><li>Material Map:steel</li><li>Maximum Speed Clamp Style Hub (RPM):9,500</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):107.3</li><li>Product Name:Single Clamp Steel Hubs</li><li>Torsional Stiffness (Nm/Rad):20,100</li><li>Torsional Stiffness (in-lb/deg):3,100</li></ul>"
2785094</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):#6-32 UNC x 1/4 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):3/8</li><li>Thrust Rating (N):67</li></ul>
2785097</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):#6-32 UNC x 1/4 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):3/8</li><li>Thrust Rating (N):67</li></ul>
2785118</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):67</li></ul>
2785119</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):67</li></ul>
2785130</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):#10-32 UNF x 3/8 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):1/2</li><li>Thrust Rating (N):133</li></ul>
2785131</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):#10-32 UNF x 3/8 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):3/8</li><li>Thrust Rating (N):133</li></ul>
2785132</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):#10-32 UNF x 3/8 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):3/8</li><li>Thrust Rating (N):133</li></ul>
2785133</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):#10-32 UNF x 3/8 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):1/2</li><li>Thrust Rating (N):133</li></ul>
2785139</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):#10-32 UNF x 3/8 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):1/2</li><li>Thrust Rating (N):133</li></ul>
2785141</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):#10-32 UNF x 3/8 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):3/8</li><li>Thrust Rating (N):133</li></ul>
2785142</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):#10-32 UNF x 3/8 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):1/2</li><li>Thrust Rating (N):133</li></ul>
2785165</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):133</li></ul>
2785166</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):133</li></ul>
2785167</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):133</li></ul>
2785168</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):133</li></ul>
2785169</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):133</li></ul>
2785183</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):3/4</li><li>Thrust Rating (N):267</li></ul>
2785187</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):3/4</li><li>Thrust Rating (N):267</li></ul>
2785189</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):1/2</li><li>Thrust Rating (N):267</li></ul>
2785190</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):5/8</li><li>Thrust Rating (N):267</li></ul>
2785200</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):1/2</li><li>Thrust Rating (N):267</li></ul>
2785204</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):1/2</li><li>Thrust Rating (N):267</li></ul>
2785429</li></ul>,"<p>Specifications</p><ul><li>Continuous Rated Torque (Nm):90.4</li><li>Coupling Size for Drawing References:30</li><li>Material Map:steel</li><li>Maximum Speed Clamp Style Hub (RPM):8,000</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):180.8</li><li>Product Name:Double QD Bushing Hubs</li></ul>"
2785431</li></ul>,"<p>Specifications</p><ul><li>Continuous Torque (Nm):181</li><li>Coupling Size for Drawing References:37</li><li>D (Bolt):M12</li><li>D Torque (Nm):100.00</li><li>Material Map:a1c</li><li>Maximum Misalignments Angular (deg):2.0</li><li>Maximum Speed (RPM):7,900</li><li>Peak Torque (Nm):362</li><li>Product Name:Double Clamp Aluminum A1C Hubs</li><li>Torsional Stiffness (Nm/Rad):32,700</li><li>Torsional Stiffness (in-lb/deg):5,051</li></ul>"
2785432</li></ul>,"<p>Specifications</p><ul><li>Continuous Rated Torque (Nm):180.8</li><li>Coupling Size for Drawing References:37</li><li>Material Map:steel</li><li>Maximum Speed Clamp Style Hub (RPM):6,700</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):361.6</li><li>Product Name:Double QD Bushing Hubs</li></ul>"
2785433</li></ul>,"<p>Specifications</p><ul><li>Continuous Rated Torque (Nm):180.8</li><li>Maximum Speed (RPM):7,400</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):361.6</li><li>Product Name:Double QD Bushing Hubs</li><li>QD Bushing Type:JA</li><li>Torsional Stiffness (Nm/Rad):32,700</li><li>Torsional Stiffness (in-lb/deg):5,051</li></ul>"
2785435</li></ul>,"<p>Specifications</p><ul><li>Continuous Torque (Nm):282</li><li>Coupling Size for Drawing References:45</li><li>D (Bolt):M16</li><li>D Torque (Nm):245.00</li><li>Material Map:a1c</li><li>Maximum Misalignments Angular (deg):2.0</li><li>Maximum Speed (RPM):6,700</li><li>Peak Torque (Nm):564</li><li>Product Name:Double Clamp Aluminum A1C Hubs</li><li>Torsional Stiffness (Nm/Rad):60,324</li><li>Torsional Stiffness (in-lb/deg):9,317</li></ul>"
2785436</li></ul>,"<p>Specifications</p><ul><li>Clamped Hub Unit inertia At 1/2 Max Bore (lb-in²):11.70</li><li>Clamped Hub Unit inertia At Max Bore (lb-in²):14.50</li><li>Continuous Rated Torque (Nm):282.5</li><li>Coupling Size for Drawing References:45</li><li>Material Map:aluminum</li><li>Maximum Speed Clamp Style Hub (RPM):5,600</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):564.9</li><li>Product Name:Double Clamp Aluminum Hubs</li><li>Torsional Stiffness (Nm/Rad):60,324</li><li>Torsional Stiffness (in-lb/deg):9,317</li></ul>"
2785437</li></ul>,"<p>Specifications</p><ul><li>Continuous Rated Torque (Nm):282.5</li><li>Coupling Size for Drawing References:45</li><li>Material Map:steel</li><li>Maximum Speed Clamp Style Hub (RPM):5,600</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):564.9</li><li>Product Name:Double QD Bushing Hubs</li></ul>"
2785438</li></ul>,"<p>Specifications</p><ul><li>Continuous Rated Torque (Nm):282.5</li><li>Maximum Speed (RPM):6,100</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):564.9</li><li>Product Name:Double QD Bushing Hubs</li><li>QD Bushing Type:SH</li><li>Torsional Stiffness (Nm/Rad):60,324</li><li>Torsional Stiffness (in-lb/deg):9,317</li></ul>"
2785440</li></ul>,"<p>Specifications</p><ul><li>Clamped Hub Unit inertia At 1/2 Max Bore (lb-in²):24.10</li><li>Clamped Hub Unit inertia At Max Bore (lb-in²):28.10</li><li>Continuous Rated Torque (Nm):402.2</li><li>Coupling Size for Drawing References:52</li><li>Material Map:aluminum</li><li>Maximum Speed Clamp Style Hub (RPM):4,800</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):804.5</li><li>Product Name:Double Clamp Aluminum Hubs</li><li>Torsional Stiffness (Nm/Rad):82,109</li><li>Torsional Stiffness (in-lb/deg):12,682</li></ul>"
2785441</li></ul>,"<p>Specifications</p><ul><li>Continuous Rated Torque (Nm):402.2</li><li>Coupling Size for Drawing References:52</li><li>Material Map:steel</li><li>Maximum Speed Clamp Style Hub (RPM):4,800</li><li>Misalignments Angular (deg):3</li><li>Peak Rated Torque (Nm):804.5</li><li>Product Name:Double QD Bushing Hubs</li></ul>"
2785485</li></ul>,"<p>Specifications</p><ul><li>Coupling Size for Drawing References:23</li><li>Inertia (Wk2) (lb-in²):0.291</li><li>Material Map:servo</li><li>Max. Cont. Peak Torque (Nm):12.0</li><li>Max. Peak Torque (Nm):17.2</li><li>Maximum Shaft Misalignments Angular (deg):1.500</li><li>Maximum Speed (RPM):6,000</li><li>Product Name:Single Disc Control Flex Couplings</li><li>Torsional Stiffness (Nm/Rad):3,150</li><li>Torsional Stiffness (in-lb/deg):55</li><li>Torsional Stiffness (in-oz/minute):14.29</li></ul>"
2785486</li></ul>,"<p>Specifications</p><ul><li>Coupling Size for Drawing References:30</li><li>Inertia (Wk2) (lb-in²):0.345</li><li>Material Map:always</li><li>Max. Cont. Peak Torque (Nm):28.2</li><li>Max. Peak Torque (Nm):40.8</li><li>Maximum Shaft Misalignments Angular (deg):1.500</li><li>Maximum Speed (RPM):6,300</li><li>Product Name:Bolted Style Control Flex Couplings</li><li>Torsional Stiffness (Nm/Rad):4,300</li><li>Torsional Stiffness (in-lb/deg):75</li></ul>"
