id,additional_description,GA_ATTRIBUTES
5744980,<p>Small Ball Angular Contact Bearing</p><p>Smaller machine steel balls result in higher speeds and lower temperatures than standard size balls.</p><p>Interchangeable with 7000 series.</p><p>Used for main spindle of high speed machining centers.</p><p>15° contact angle.</p>,purchase-dimension7:new-additional-description-dima-March2020
5744981,<p>Small Ball Angular Contact Bearing</p><p>Smaller machine steel balls result in higher speeds and lower temperatures than standard size balls.</p><p>Interchangeable with 7000 series.</p><p>Used for main spindle of high speed machining centers.</p><p>15° contact angle.</p>,purchase-dimension7:new-additional-description-dima-March2020
5744982,<p>Small Ball Angular Contact Bearing</p><p>Smaller machine steel balls result in higher speeds and lower temperatures than standard size balls.</p><p>Interchangeable with 7000 series.</p><p>Used for main spindle of high speed machining centers.</p><p>15° contact angle.</p>,purchase-dimension7:new-additional-description-dima-March2020
5744983,<p>Small Ball Angular Contact Bearing</p><p>Smaller machine steel balls result in higher speeds and lower temperatures than standard size balls.</p><p>Interchangeable with 7000 series.</p><p>Used for main spindle of high speed machining centers.</p><p>15° contact angle.</p>,purchase-dimension7:new-additional-description-dima-March2020
5744984,<p>Small Ball Angular Contact Bearing</p><p>Smaller machine steel balls result in higher speeds and lower temperatures than standard size balls.</p><p>Interchangeable with 7000 series.</p><p>Used for main spindle of high speed machining centers.</p><p>15° contact angle.</p>,purchase-dimension7:new-additional-description-dima-March2020
5744985,<p>Small Ball Angular Contact Bearing</p><p>Smaller machine steel balls result in higher speeds and lower temperatures than standard size balls.</p><p>Interchangeable with 7000 series.</p><p>Used for main spindle of high speed machining centers.</p><p>15° contact angle.</p>,purchase-dimension7:new-additional-description-dima-March2020
5744986,<p>Small Ball Angular Contact Bearing</p><p>Smaller machine steel balls result in higher speeds and lower temperatures than standard size balls.</p><p>Interchangeable with 7000 series.</p><p>Used for main spindle of high speed machining centers.</p><p>15° contact angle.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745113,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745114,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745115,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745116,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745117,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745118,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745119,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745120,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745121,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745122,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745123,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745124,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745125,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745126,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745127,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745128,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745129,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745130,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745131,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745132,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745133,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745134,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745135,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745136,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745137,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745139,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
5745140,<p>Larger load capacity than single-row cylindrical roller bearings.</p><p>Used for machine tool spindles etc.</p>,purchase-dimension7:new-additional-description-dima-March2020
