edit-name,doc-id,product-code,specifications
EN56,13366,41615,Belt Width (in.):24|24:Choose_Belt_Width_in|Belt Width (mm):600|600:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):3.4|Weight (kg):1.54|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Steel|Steel:Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN57,13367,41616,Belt Width (in.):30|30:Choose_Belt_Width_in|Belt Width (mm):750|750:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):4.2|Weight (kg):1.91|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Steel|Steel:Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN58,13368,41617,Belt Width (in.):36|36:Choose_Belt_Width_in|Belt Width (mm):900|900:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):5.1|Weight (kg):2.31|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Steel|Steel:Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN59,13379,41618,Belt Width (in.):42|42:Choose_Belt_Width_in|Belt Width (mm):1050|1050:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):5.9|Weight (kg):2.68|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Steel|Steel:Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN60,13380,41619,Belt Width (in.):48|48:Choose_Belt_Width_in|Belt Width (mm):1200|1200:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):6.9|Weight (kg):3.13|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Steel|Steel:Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN61,13381,41623,Belt Width (in.):54|54:Choose_Belt_Width_in|Belt Width (mm):1350|1350:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):8.1|Weight (kg):3.67|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Steel|Steel:Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN62,13382,41624,Belt Width (in.):60|60:Choose_Belt_Width_in|Belt Width (mm):1500|1500:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):9.2|Weight (kg):4.17|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Steel|Steel:Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN72,13383,41709,"Belt Width (in.):48|48:Choose_Belt_Width_in|Belt Width (mm):1200|1200:Choose_Belt_Width_mm|Package Configuration:Fpur Plate Strips<br />
(Ten Strips Per Box)|Weight (lbs):4.7|Weight (kg):2.13|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:MegAlloy®|MegAlloy®:Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm"
EN63,13384,41628,Belt Width (in.):12|12:Choose_Belt_Width_in|Belt Width (mm):300|300:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):2.0|Weight (kg):0.91|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Stainless (Type 300)|Stainless (Type 300):Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN64,13385,41629,Belt Width (in.):18|18:Choose_Belt_Width_in|Belt Width (mm):450|450:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):2.6|Weight (kg):1.18|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Stainless (Type 300)|Stainless (Type 300):Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN65,13386,41630,Belt Width (in.):24|24:Choose_Belt_Width_in|Belt Width (mm):600|600:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):3.4|Weight (kg):1.54|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Stainless (Type 300)|Stainless (Type 300):Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN66,13387,41631,Belt Width (in.):30|30:Choose_Belt_Width_in|Belt Width (mm):750|750:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):4.2|Weight (kg):1.91|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Stainless (Type 300)|Stainless (Type 300):Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN67,13388,41632,Belt Width (in.):36|36:Choose_Belt_Width_in|Belt Width (mm):900|900:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):5.1|Weight (kg):2.31|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Stainless (Type 300)|Stainless (Type 300):Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN68,13399,41633,Belt Width (in.):42|42:Choose_Belt_Width_in|Belt Width (mm):1050|1050:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):5.9|Weight (kg):2.68|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Stainless (Type 300)|Stainless (Type 300):Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN69,13400,41634,Belt Width (in.):48|48:Choose_Belt_Width_in|Belt Width (mm):1200|1200:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):6.9|Weight (kg):3.13|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Stainless (Type 300)|Stainless (Type 300):Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN70,13401,41642,Belt Width (in.):54|54:Choose_Belt_Width_in|Belt Width (mm):1350|1350:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):8.1|Weight (kg):3.67|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Stainless (Type 300)|Stainless (Type 300):Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN71,13402,41643,Belt Width (in.):54|54:Choose_Belt_Width_in|Belt Width (mm):1350|1350:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):8.1|Weight (kg):3.67|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Stainless (Type 300)|Stainless (Type 300):Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN126,13403,41314,Belt Width (in.):18|450:Choose_Belt_Width_in|Choose_Belt_Width_mm:Belt Width (mm)|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):2.6|Weight (kg):1.18|Belt Thickness (in.):7/32-7/16|6-11:Choose_Belt_Thickness_in|Choose_Belt_Thickness_mm:Belt Thickness (mm)|Fastener Material:Steel|79:Choose_Fastener_Material|Choose_Mechanical_Fastener_Rating_kNm:Mechanical Fastener Rating (kN/m)|Mechanical Fastener Rating (P.I.W.):450|9:Choose_Mechanical_Fastener_Rating_PIW|Choose_Minimum_Pulley_Diameter_in:Minimum Pulley Diameter (in.)|Minimum Pulley Diameter (mm):230|Choose_Minimum_Pulley_Diameter_mm
EN127,13404,41315,Belt Width (in.):24|600:Choose_Belt_Width_in|Choose_Belt_Width_mm:Belt Width (mm)|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):3.4|Weight (kg):1.54|Belt Thickness (in.):7/32-7/16|6-11:Choose_Belt_Thickness_in|Choose_Belt_Thickness_mm:Belt Thickness (mm)|Fastener Material:Steel|79:Choose_Fastener_Material|Choose_Mechanical_Fastener_Rating_kNm:Mechanical Fastener Rating (kN/m)|Mechanical Fastener Rating (P.I.W.):450|9:Choose_Mechanical_Fastener_Rating_PIW|Choose_Minimum_Pulley_Diameter_in:Minimum Pulley Diameter (in.)|Minimum Pulley Diameter (mm):230|Choose_Minimum_Pulley_Diameter_mm
EN128,13405,41409,Belt Width (in.):26|650:Choose_Belt_Width_in|Choose_Belt_Width_mm:Belt Width (mm)|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):3.7|Weight (kg):1.68|Belt Thickness (in.):7/32-7/16|6-11:Choose_Belt_Thickness_in|Choose_Belt_Thickness_mm:Belt Thickness (mm)|Fastener Material:Steel|79:Choose_Fastener_Material|Choose_Mechanical_Fastener_Rating_kNm:Mechanical Fastener Rating (kN/m)|Mechanical Fastener Rating (P.I.W.):450|9:Choose_Mechanical_Fastener_Rating_PIW|Choose_Minimum_Pulley_Diameter_in:Minimum Pulley Diameter (in.)|Minimum Pulley Diameter (mm):230|Choose_Minimum_Pulley_Diameter_mm
EN129,13406,41276,Belt Width (in.):30|750:Choose_Belt_Width_in|Choose_Belt_Width_mm:Belt Width (mm)|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):4.2|Weight (kg):1.91|Belt Thickness (in.):7/32-7/16|6-11:Choose_Belt_Thickness_in|Choose_Belt_Thickness_mm:Belt Thickness (mm)|Fastener Material:Steel|79:Choose_Fastener_Material|Choose_Mechanical_Fastener_Rating_kNm:Mechanical Fastener Rating (kN/m)|Mechanical Fastener Rating (P.I.W.):450|9:Choose_Mechanical_Fastener_Rating_PIW|Choose_Minimum_Pulley_Diameter_in:Minimum Pulley Diameter (in.)|Minimum Pulley Diameter (mm):230|Choose_Minimum_Pulley_Diameter_mm
EN135,13407,41277,Belt Width (in.):36|900:Choose_Belt_Width_in|Choose_Belt_Width_mm:Belt Width (mm)|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):5.1|Weight (kg):2.31|Belt Thickness (in.):7/32-7/16|6-11:Choose_Belt_Thickness_in|Choose_Belt_Thickness_mm:Belt Thickness (mm)|Fastener Material:Steel|79:Choose_Fastener_Material|Choose_Mechanical_Fastener_Rating_kNm:Mechanical Fastener Rating (kN/m)|Mechanical Fastener Rating (P.I.W.):450|9:Choose_Mechanical_Fastener_Rating_PIW|Choose_Minimum_Pulley_Diameter_in:Minimum Pulley Diameter (in.)|Minimum Pulley Diameter (mm):230|Choose_Minimum_Pulley_Diameter_mm
EN147,13408,38129,Belt Width (in.):18|450:Choose_Belt_Width_in|Choose_Belt_Width_mm:Belt Width (mm)|Hinge Pin Diameter (in.):1/4|6.35:Choose_Hinge_Pin_Diameter_in|Choose_Hinge_Pin_Diameter_mm:Hinge Pin Diameter (mm)|Hinge Pin Material:Bare Armored Cable|One pin:Choose_Hinge_Pin_Material|.09:Package Configuration|.2:Weight (kg)|Weight (lbs)
EN148,13419,38130,Belt Width (in.):24|600:Choose_Belt_Width_in|Choose_Belt_Width_mm:Belt Width (mm)|Hinge Pin Diameter (in.):1/4|.25:Choose_Hinge_Pin_Diameter_in|Choose_Hinge_Pin_Diameter_mm:Hinge Pin Diameter (mm)|Hinge Pin Material:Bare Armored Cable|One pin:Choose_Hinge_Pin_Material|.09:Package Configuration|.2:Weight (kg)|Weight (lbs)
EN139,13425,40527,Package Configuration:Box|Rivet Material:Steel|Rivet Quantity:250|Rivet Size:A|Weight (kg):1.04|Weight (lbs):2.3|With Washers:No
EN136,13426,40539,Package Configuration:Box|Rivet Material:Steel|Rivet Quantity:100|Rivet Size:A|Weight (kg):.41|Weight (lbs):.9|With Washers:No
EN142,13427,41190,Package Configuration:Bucket|Rivet Material:Steel|Rivet Quantity:2000|Rivet Size:A|Weight (kg):8.3|Weight (lbs):18.3|With Washers:No
EN138,13428,40508,Package Configuration:Box|Rivet Material:Steel|Rivet Quantity:250|Rivet Size:SRAA|Weight (kg):1|Weight (lbs):2.2|With Washers:No
EN125,13439,40509,Package Configuration:Box|Rivet Material:Steel|Rivet Quantity:100|Rivet Size:SRAA|Weight (kg):.36|Weight (lbs):.8|With Washers:No
EN141,13440,40424,Package Configuration:Bucket|Rivet Material:Steel|Rivet Quantity:2000|Rivet Size:SRAA|Weight (kg):7.3|Weight (lbs):16.1|With Washers:No
EN144,13441,40468,Package Configuration:Box|Rivet Material:Stainless (Type 430)|Rivet Quantity:250|Rivet Size:SRAA|Weight (kg):1|Weight (lbs):2.2|With Washers:No
EN145,13442,40542,Package Configuration:Box|Rivet Material:Stainless (Type 430)|Rivet Quantity:250|Rivet Size:A|Weight (kg):1.04|Weight (lbs):2.3|With Washers:No
EN140,13443,40528,Package Configuration:Box|Rivet Material:Steel|Rivet Quantity:250|Rivet Size:B|Weight (kg):1.13|Weight (lbs):2.5|With Washers:No
EN137,13444,40540,Package Configuration:Box|Rivet Material:Steel|Rivet Quantity:100|Rivet Size:B|Weight (kg):.45|Weight (lbs):1|With Washers:No
