"ID","DETAIL_ATTRIBUTES"
1307931,"Contactor model:CWC07-16, CW07|Current range:0,28-0,4 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
1307932,"Contactor model:CWC07-16, CW07|Current range:0,56-0,8 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
1307933,"Contactor model:CWC07-16, CW07|Current range:0,8-1,2 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
1307934,"Contactor model:CWC07-16, CW07|Current range:1,2-1,8 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
1307935,"Contactor model:CWC07-16, CW07|Current range:1,8-2,8 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
1307936,"Contactor model:CWC07-16, CW07|Current range:4-6,3 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
1307937,"Contactor model:CWC07-16, CW07|Current range:8-12,5 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
1307938,"Contactor model:CWC07-16, CW07|Current range:2,8-4 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
1307939,"Contactor model:CWC07-16, CW07|Current range:5,6-8 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
1307940,"Contactor model:CWC07-16, CW07|Current range:7-10 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
1307941,"Contactor model:CWC07-16, CW07|Current range:10-15 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
1307942,"Contactor model:CWC07-16, CW07|Current range:11-17 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
1307943,"Contactor model:CWC025|Current range:15-23 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
1307944,"Contactor model:CWC025|Current range:22-32 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
1307945,"Contactor model:CWM9-40|Current range:1,2-1,8 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW27"
1307946,"Contactor model:CWM9-40|Current range:1,8-2,8 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW27"
1307947,"Contactor model:CWM9-40|Current range:4-6,3 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW27"
1307948,"Contactor model:CWM9-40|Current range:8-12,5 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW27"
1307949,"Contactor model:CWM9-40|Current range:2,8-4 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW27"
1307950,"Contactor model:CWM9-40|Current range:5,6-8 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW27"
1307951,"Contactor model:CWM9-40|Current range:7-10 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW27"
1307952,"Contactor model:CWM9-40|Current range:10-15 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW27"
1307953,"Contactor model:CWM9-40|Current range:11-17 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW27"
1307954,"Contactor model:CWM9-40|Current range:15-23 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW27"
1307955,"Contactor model:CWM9-40|Current range:22-32 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW27"
1307956,"Contactor model:CWM9-40|Current range:0,4-0,63 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307957,"Contactor model:CWM9-40|Current range:0,28-0,4 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307958,"Contactor model:CWM9-40|Current range:0,56-0,8 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307959,"Contactor model:CWM9-40|Current range:0,8-1,2 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307960,"Contactor model:CWM9-40|Current range:1,2-1,8 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307961,"Contactor model:CWM9-40|Current range:1,8-2,8 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307962,"Contactor model:CWM9-40|Current range:4-6,3 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307963,"Contactor model:CWM9-40|Current range:8-12,5 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307964,"Contactor model:CWM9-40|Current range:2,8-4 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307965,"Contactor model:CWM9-40|Current range:5,6-8 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307966,"Contactor model:CWM9-40|Current range:7-10 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307967,"Contactor model:CWM9-40|Current range:10-15 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307968,"Contactor model:CWM9-40|Current range:11-17 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307969,"Contactor model:CWM9-40|Current range:15-23 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307970,"Contactor model:CWM9-40|Current range:22-32 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW27"
1307971,"Contactor model:CWM112-450|Current range:100-150 A|Mounting type:Individual|Number of poles:3 poles|Reference:RW317"
1307972,"Contactor model:CWM112-450|Current range:140-215 A|Mounting type:Individual|Number of poles:3 poles|Reference:RW317"
1307973,"Contactor model:CWM112-450|Current range:200-310 A|Mounting type:Individual|Number of poles:3 poles|Reference:RW317"
1307974,"Contactor model:CWM112-450|Current range:275-420 A|Mounting type:Individual|Number of poles:3 poles|Reference:RW317"
1307975,"Contactor model:CWM450-800|Current range:400-600 A|Mounting type:Individual|Number of poles:3 poles|Reference:RW407"
1307976,"Contactor model:CWM450-800|Current range:560-840 A|Mounting type:Individual|Number of poles:3 poles|Reference:RW407"
1307977,"Contactor model:CWM32/40|Current range:25-40 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW67"
1307978,"Contactor model:CWM32/40|Current range:32-50 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW67"
1307979,"Contactor model:CWM32/40|Current range:25-40 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW67"
1307980,"Contactor model:CWM32/40|Current range:32-50 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW67"
1307981,"Contactor model:CWM50-80|Current range:25-40 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW67"
1307982,"Contactor model:CWM50-80|Current range:32-50 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW67"
1307983,"Contactor model:CWM50-80|Current range:40-57 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW67"
1307984,"Contactor model:CWM50-80|Current range:50-63 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW67"
1307985,"Contactor model:CWM50-80|Current range:57-70 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW67"
1307986,"Contactor model:CWM50-80|Current range:63-80 A|Mounting type:Direct|Number of poles:2 poles|Reference:RW67"
1307987,"Contactor model:CWM50-80|Current range:25-40 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW67"
1307988,"Contactor model:CWM50-80|Current range:32-50 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW67"
1307989,"Contactor model:CWM50-80|Current range:40-57 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW67"
1307990,"Contactor model:CWM50-80|Current range:50-63 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW67"
1307991,"Contactor model:CWM50-80|Current range:57-70 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW67"
1307992,"Contactor model:CWM50-80|Current range:63-80 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW67"
1307995,"Cable application:HMI|Cable type:Communication|Certification:Without|Connector type:DB9 - DB9|Length (mm):1,000|Rated voltage:Voltage up to 80 V|Ways quantity:9 ways"
1307996,"Cable application:HMI|Cable length:2 m|Cable type:INTERCONNECTION|Certification:Without|Connector type:DB9 - DB9|Rated voltage:Voltage up to 80 V"
1307997,"Cable application:HMI|Cable type:Communication|Certification:Without|Connector type:DB9 - DB9|Length (mm):3,000|Rated voltage:Voltage up to 80 V|Ways quantity:6 ways"
1307998,"Cable application:HMI|Cable type:INTERCONNECTION|Certification:Without|Connector type:DB9 - DB9|Length (mm):5,000|Rated voltage:Voltage up to 80 V|Ways quantity:6 ways"
1308001,"Application:Sot-starter|Applied product:SSW06 255A/220-575V|Certification:Without|Complement:SSW06-KECA-255|DESCRIPTION:External current acquisition|Language:Portuguese/English/Spanish"
1308002,"Application:Sot-starter|Applied product:SSW06 312A/220-575V|Certification:Without|Complement:SSW06-KECA-312|DESCRIPTION:External current acquisition|Language:Portuguese/English/Spanish"
1308003,"Application:Sot-starter|Applied product:SSW06 365A/220-575V|Certification:Without|Complement:SSW06-KECA-365|DESCRIPTION:External current acquisition|Language:Portuguese/English/Spanish"
1308004,"Application:Sot-starter|Applied product:SSW06 412A/220-575V|Certification:Without|Complement:SSW06-KECA-412|DESCRIPTION:External current acquisition|Language:Portuguese/English/Spanish"
1308005,"Application:Sot-starter|Applied product:SSW06 480A/220-575V|Certification:Without|Complement:SSW06-KECA-480|DESCRIPTION:External current acquisition|Language:Portuguese/English/Spanish"
1308006,"Application:Sot-starter|Applied product:SSW06 604A/220-575V|Certification:Without|Complement:SSW06-KECA-604|DESCRIPTION:External current acquisition|Language:Portuguese/English/Spanish"
1308007,"Application:Sot-starter|Applied product:SSW06 670A/220-575V|Certification:Without|Complement:SSW06-KECA-670|DESCRIPTION:External current acquisition|Language:Portuguese/English/Spanish"
1308008,"Application:Sot-starter|Applied product:SSW06 820A/220-575V|Certification:Without|Complement:SSW06-KECA-820|DESCRIPTION:External current acquisition|Language:Portuguese/English/Spanish"
1308013,"Application:Sot-starter|Applied product:SSW06|Certification:Without|Complement:HMI-SSW06|DESCRIPTION:HMI|Language:Without"
1308015,"Application:Sot-starter|Applied product:SSW06|Certification:Without|Complement:KFB-DN-SSW06|DESCRIPTION:Communication board|Language:Portuguese/English/Spanish"
1308016,"Application:Sot-starter|Applied product:SSW06|Certification:Without|Complement:KFB-PD-PV1-SSW06|DESCRIPTION:Communication board|Language:Portuguese/English/Spanish"
1308018,"Application:Soft-starter|Applied product:SSW06 Size 2|Certification:Without|Description:Protection|Language:Portuguese/English/Spanish|Model/Complement:IP20-SSW06-M2|Type:Kit"
1308019,"Application:Soft-starter|Applied product:SSW06 Size 3|Certification:Without|Description:Protection|Language:Portuguese/English/Spanish|Model/Complement:IP20-SSW06-M3|Type:Kit"
1308020,"Application:Soft-starter|Applied product:SSW06 Size 4 SSW06 Size 5|Certification:Without|Description:Protection|Language:Portuguese/English/Spanish|Model/Complement:IP20-SSW06-M4/5|Type:Kit"
1308021,"Application:Soft-starter|Applied product:SSW06 Size 6|Certification:Without|Description:Protection|Language:Portuguese/English/Spanish|Model/Complement:IP20-SSW06-M6|Type:Kit"
1308025,"Application:Soft-starter|Applied product:SSW06|Certification:Without|Description:Hmi frame|Language:Without|Model/Complement:KMR-SSW06|Type:Kit"
1308027,"Application:Sot-starter|Applied product:SSW06|Certification:Without|Complement:KRS-485|DESCRIPTION:Communication board|Language:Portuguese/English/Spanish"
1308029,"Application:Various applications|Applied product:CFW09PM/11/500/70X SSW06/07/08 SCA06|Certification:Without|Complement:SUPERDRIVE G2|DESCRIPTION:Recorded CD-ROM with software|Language:Portuguese/English/Spanish"
1308030,"Application:Sot-starter|Applied product:SSW07 SSW08|Certification:Without|Complement:KRS-232|DESCRIPTION:Communication module|Language:Portuguese/English/Spanish"
1308032,"Power supply:220-460 V|Rated current:10 A"
1308033,"Power supply:220-460 V|Rated current:16 A"
1308034,"Power supply:220-460 V|Rated current:23 A"
1308035,"Power supply:220-460 V|Rated current:30 A"
1308036,"Power supply:220-460 V|Rated current:45 A"
1308037,"Power supply:220-460 V|Rated current:60 A"
1308038,"Power supply:220-460 V|Rated current:85 A"
1308039,"Power supply:220-575 V|Rated current:10 A"
1308040,"Power supply:220-575 V|Rated current:16 A"
1308041,"Power supply:220-575 V|Rated current:23 A"
1308042,"Power supply:220-575 V|Rated current:30 A"
1308043,"Power supply:220-575 V|Rated current:45 A"
1308044,"Power supply:220-575 V|Rated current:60 A"
1308045,"Power supply:220-575 V|Rated current:85 A"
1308046,"Power supply:220-575 V|Rated current:130 A"
1308047,"Power supply:220-575 V|Rated current:170 A"
1308048,"Power supply:220-575 V|Rated current:205 A"
1308049,"Power supply:220-575 V|Rated current:255 A"
1308050,"Power supply:220-575 V|Rated current:312 A"
1308051,"Power supply:220-575 V|Rated current:365 A"
1308052,"Current limit:No|Current limitation ramp:Yes|Direct on line start:No|Inside delta (6 leads):Yes|Modbus-RTU RS-232:Yes|Modbus-RTU RS-485:Available with optional|Modbus-RTU USB:Yes|Parameterization via keypad:Yes|Parameterization via software:Superdrive G2|Parameterization via trimpots and dip switches:No|Product certification:UL, CE, CS, IRAM and C-TICK|Pump control:Yes|SoftPLC (ladder programming):Yes, 1K bytes|Standard (3 leads):Yes|Starting duty cycle:330|Starting regime (with ventilation kit):No|Torque control:Yes|Voltage ramp:Yes|Voltage ramp and current limit:Yes|ï¿½:ï¿½"
1308055,"Current limit:No|Current limitation ramp:Yes|Direct on line start:No|Inside delta (6 leads):Yes|Modbus-RTU RS-232:Yes|Modbus-RTU RS-485:Available with optional|Modbus-RTU USB:Yes|Parameterization via keypad:Yes|Parameterization via software:Superdrive G2|Parameterization via trimpots and dip switches:No|Product certification:UL, CE, CS, IRAM and C-TICK|Pump control:Yes|SoftPLC (ladder programming):Yes, 1K bytes|Standard (3 leads):Yes|Starting duty cycle:330|Starting regime (with ventilation kit):No|Torque control:Yes|Voltage ramp:Yes|Voltage ramp and current limit:Yes|ï¿½:ï¿½"
1308057,"Power supply:220-575 V|Rated current:950 A"
1308058,"Power supply:220-575 V|Rated current:950 A"
1308059,"Power supply:220-575 V|Rated current:1100 A"
1308060,"Power supply:220-575 V|Rated current:1400 A"
1308064,"Power supply:220-575 V|Rated current:17 A"
1308065,"Power supply:220-575 V|Rated current:24 A"
1308066,"Power supply:220-575 V|Rated current:30 A"
1308067,"Power supply:220-575 V|Rated current:45 A"
1308068,"Power supply:220-575 V|Rated current:61 A"
1308069,"Power supply:220-575 V|Rated current:85 A"
1308070,"Power supply:220-575 V|Rated current:130 A"
1308071,"Power supply:220-575 V|Rated current:171 A"
1308072,"Power supply:220-575 V|Rated current:200 A"
1308073,"Power supply:220-575 V|Rated current:255 A"
1308074,"Power supply:220-575 V|Rated current:312 A"
1308075,"Current limit:Yes|Current limitation ramp:Programammable via optional|Direct on line start:Programmable via optional|Inside delta (6 leads):No|Modbus-RTU RS-232:Available with optional|Modbus-RTU RS-485:Available with optional|Modbus-RTU USB:No|Parameterization via keypad:Available with optional|Parameterization via software:Superdrive G2|Parameterization via trimpots and dip switches:Yes|Product certification:UL, CE, CS, IRAM and C-TICK|Pump control:Programmable via optional|SoftPLC (ladder programming):No|Standard (3 leads):Yes|Starting duty cycle:330|Starting regime (with ventilation kit):No|Torque control:No|Voltage ramp:Yes|Voltage ramp and current limit:No|ï¿½:ï¿½"
1308076,"Power supply:220-575 V|Rated current:412 A"
1308080,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308081,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308082,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308083,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308084,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308085,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308086,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308087,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308088,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308089,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308090,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308091,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308092,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308093,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308094,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308095,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308096,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308097,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308098,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308099,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308100,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308101,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308102,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308103,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308104,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308105,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308106,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308107,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308108,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308109,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308111,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308112,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308113,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308114,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308115,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308116,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308117,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308118,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308119,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308120,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308121,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308122,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308123,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308124,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308125,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308126,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308127,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308128,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308129,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308130,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308131,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308132,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308133,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308134,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308135,"Bypass type:AC3|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308136,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308137,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:230 V|Panel type:SOFT-STARTER"
1308138,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light and Fault Light|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
1308139,"Bypass type:None|Control options:Start Pushbutton, Stop Pushbutton, Run Light, Fault Light and Keypad|Enclosure rating:Type 4|Main voltage:460 V|Panel type:SOFT-STARTER"
