id,catalog_number,attributes
2852102,ALBI-32,APPLICATION: Illuminated pushbutton ALBI | FUNCTION OF CONTROLS REFLECTOR: 32 MOVIMENTO LINEAR | MATERIAL USED AT REFLECTOR: Plastic | REFLECTOR FINISHING OR COLOR: Standard of process
2852103,ALBI-33,APPLICATION: Illuminated pushbutton ALBI | FUNCTION OF CONTROLS REFLECTOR: 33 SENTIDO HORARIO | MATERIAL USED AT REFLECTOR: Plastic | REFLECTOR FINISHING OR COLOR: Standard of process
2852104,ALBI-34,APPLICATION: Illuminated pushbutton ALBI | FUNCTION OF CONTROLS REFLECTOR: 34 SENTIDO ANTI-HORARIO | MATERIAL USED AT REFLECTOR: Plastic | REFLECTOR FINISHING OR COLOR: Standard of process
2852105,ALBI-35,APPLICATION: Illuminated pushbutton ALBI | FUNCTION OF CONTROLS REFLECTOR: 35 ALIMENTACAO | MATERIAL USED AT REFLECTOR: Plastic | REFLECTOR FINISHING OR COLOR: Standard of process
2523764,MP DWB160,Application: Molded Case Circuit Breaker DWB | Application complement: 160 | Type: Of the MP panel door | Material: Plastic Resin | Finishing or color: Finishing of manufacturing process
2523765,MP DWB250,Application: Molded Case Circuit Breaker DWB | Application complement: 250 | Type: Of the MP panel door | Material: Plastic Resin | Finishing or color: Finishing of manufacturing process
5902919,MR DWB400,Application: Molded Case Circuit Breaker DWB | Application complement: 400 | Type: Mechanism rod mr | Contacts identification: Not specified | Use position: Not specified | Material: Steel | Finishing/Color: Standard of the material
5902108,MP DWB400,Application: Molded Case Circuit Breaker DWB | Application complement: 400 | Type: Of the MP panel door | Material: Plastic Resin | Finishing or color: Finishing of manufacturing process
5902920,MR DWB800-1600,Application: Molded Case Circuit Breaker DWB | Application complement: 800-1600 | Type: Mechanism rod mr | Contacts identification: Not specified | Use position: Not specified | Material: Steel | Finishing/Color: Standard of the material
5902109,MP DWB800-1600,Application: Molded Case Circuit Breaker DWB | Application complement: 800-1600 | Type: Of the MP panel door | Material: Plastic Resin | Finishing or color: Finishing of manufacturing process
2521014,BFR DWB 160 3P UL,Application: Molded-Case Circuit Breaker | Product reference: DWB160 3P UL | Material: Carbon Steel
5740590,EDHI-UBW1200,Application: Molded-case circuit breaker | Type: Handle extension | Product line: UBW1200 | Model: EDHI-UBW1200
5740591,EDHI-UBW2500,Application: Molded-case circuit breaker | Type: Handle extension | Product line: UBW2500 | Model: EDHI-UBW2500
5740592,EDHI-UBW800,Application: Molded-case circuit breaker | Type: Handle extension | Product line: UBW800 | Model: EDHI-UBW800
5740898,HL-UBW1200,Application: Molded-case circuit breaker | Type: Handle lock | Product line: UBW1200 | Model: HL-UBW1200
5740899,HL-UBW225,Application: Molded-case circuit breaker | Type: Handle lock | Product line: UBW225 | Model: HL-UBW225
5741374,PL-UBW2500,Application: Molded-case circuit breaker | Type: Handle lock | Product line: UBW2500 | Model: PL-UBW2500
5740900,HL-UBW400,Application: Molded-case circuit breaker | Type: Handle lock | Product line: UBW400 | Model: HL-UBW400
5901962,PL-UBW600/800-FRAME,Application: Molded-case circuit breaker | Type: Handle lock | Product line: UBW600 | Model: PL-UBW600
5741375,PL-UBW600,Application: Molded-case circuit breaker | Type: Handle lock | Product line: UBW600 | Model: PL-UBW600
5741404,SHT-UBW1200-D95,Application: Molded-case circuit breaker | Type: Shunt trip release | Product line: UBW1200 | Voltage: 100-240 Vac | Model: SHT-UBW1200-D95
5741405,SHT-UBW1200-E60,Application: Molded-case circuit breaker | Type: Shunt trip release | Product line: UBW1200 | Voltage: 9-24 Vac/12-24 Vdc | Model: SHT-UBW1200-E60
5741407,SHT-UBW225-E59,Application: Molded-case circuit breaker | Type: Shunt trip release | Product line: UBW225 | Voltage: 12-24 Vac/dc | Model: SHT-UBW225-E59
5741408,SHT-UBW225-E62,Application: Molded-case circuit breaker | Type: Shunt trip release | Product line: UBW225 | Voltage: 208-380 Vac/110-127 Vdc | Model: SHT-UBW225-E62
5741406,SHT-UBW225-E58,Application: Molded-case circuit breaker | Type: Shunt trip release | Product line: UBW225 | Voltage: 48-120 Vac/48-60 Vdc | Model: SHT-UBW225-E58
5741412,SHT-UBW250-E61,Application: Molded-case circuit breaker | Type: Shunt trip release | Product line: UBW250 | Voltage: 100-240 Vac/110-125 Vdc | Model: SHT-UBW250-E61
5741411,SHT-UBW250-E59,Application: Molded-case circuit breaker | Type: Shunt trip release | Product line: UBW250 | Voltage: 12-24 Vac/dc | Model: SHT-UBW250-E59
5741409,SHT-UBW2500-D95,Application: Molded-case circuit breaker | Type: Shunt trip release | Product line: UBW2500 | Voltage: 100-240 Vac | Model: SHT-UBW2500-D95
5741410,SHT-UBW2500-E26,Application: Molded-case circuit breaker | Type: Shunt trip release | Product line: UBW2500 | Voltage: 24 Vac/dc | Model: SHT-UBW2500-E26
5741414,SHT-UBW400-E61,Application: Molded-case circuit breaker | Type: Shunt trip release | Product line: UBW400 | Voltage: 100-240 Vac/110-125 Vdc | Model: SHT-UBW400-E61
5741413,SHT-UBW400-E59,Application: Molded-case circuit breaker | Type: Shunt trip release | Product line: UBW400 | Voltage: 12-24 Vac/dc | Model: SHT-UBW400-E59
5741415,SHT-UBW800-D95,Application: Molded-case circuit breaker | Type: Shunt trip release | Product line: UBW800 | Voltage: 100-240 Vac | Model: SHT-UBW800-D95
5741416,SHT-UBW800-E60,Application: Molded-case circuit breaker | Type: Shunt trip release | Product line: UBW800 | Voltage: 9-24 Vac/12-24 Vdc | Model: SHT-UBW800-E60
5741594,UVT-UBW1200-D60,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW1200 | Voltage: 110-127 Vac | Model: UVT-UBW1200-D60
5741595,UVT-UBW1200-D96,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW1200 | Voltage: 208-240 Vac | Model: UVT-UBW1200-D96
5741593,UVT-UBW1200-C03,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW1200 | Voltage: 24 Vdc | Model: UVT-UBW1200-C03
5741597,UVT-UBW225-D60,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW225 | Voltage: 110-127 Vac | Model: UVT-UBW225-D60
5741598,UVT-UBW225-D96,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW225 | Voltage: 208-240 Vac | Model: UVT-UBW225-D96
5741596,UVT-UBW225-C03,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW225 | Voltage: 24 Vdc | Model: UVT-UBW225-C03
5741603,UVT-UBW250-D60,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW250 | Voltage: 110-127 Vac | Model: UVT-UBW250-D60
5741604,UVT-UBW250-D96,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW250 | Voltage: 208-240 Vac | Model: UVT-UBW250-D96
5741602,UVT-UBW250-C03,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW250 | Voltage: 24 Vdc | Model: UVT-UBW250-C03
5741600,UVT-UBW2500-D60,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW2500 | Voltage: 110-127 Vac | Model: UVT-UBW2500-D60
5741601,UVT-UBW2500-D96,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW2500 | Voltage: 208-240 Vac | Model: UVT-UBW2500-D96
5741599,UVT-UBW2500-C03,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW2500 | Voltage: 24 Vdc | Model: UVT-UBW2500-C03
5741606,UVT-UBW400-D60,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW400 | Voltage: 110-127 Vac | Model: UVT-UBW400-D60
5741607,UVT-UBW400-D96,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW400 | Voltage: 208-240 Vac | Model: UVT-UBW400-D96
5741605,UVT-UBW400-C03,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW400 | Voltage: 24 Vdc | Model: UVT-UBW400-C03
5741609,UVT-UBW800-D60,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW800 | Voltage: 110-127 Vac | Model: UVT-UBW800-D60
5741610,UVT-UBW800-D96,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW800 | Voltage: 208-240 Vac | Model: UVT-UBW800-D96
5741608,UVT-UBW800-C03,Application: Molded-case circuit breaker | Type: Undervoltage release | Product line: UBW800 | Voltage: 24 Vdc | Model: UVT-UBW800-C03
1315741,BBS54-5,Application: Motor protective circuit breaker MPW18/40 | Number of poles: Standard BBS | Rated insulation voltage: 690 V - 50/60 Hz | Color: Black
1315740,BBS54-4,Application: Motor protective circuit breaker MPW18/40 | Number of poles: Standard BBS | Rated insulation voltage: 690 V - 50/60 Hz | Color: Black
1315739,BBS54-3,Application: Motor protective circuit breaker MPW18/40 | Number of poles: Standard BBS | Rated insulation voltage: 690 V - 50/60 Hz | Color: Black
1315738,BBS54-2,Application: Motor protective circuit breaker MPW18/40 | Number of poles: Standard BBS | Rated insulation voltage: 690 V - 50/60 Hz | Color: Black
1315737,BBS45-5,Application: Motor protective circuit breaker MPW18/40 | Number of poles: Standard BBS | Rated insulation voltage: 690 V - 50/60 Hz | Color: Black
1315736,BBS45-4,Application: Motor protective circuit breaker MPW18/40 | Number of poles: Standard BBS | Rated insulation voltage: 690 V - 50/60 Hz | Color: Black
1315735,BBS45-3,Application: Motor protective circuit breaker MPW18/40 | Number of poles: Standard BBS | Rated insulation voltage: 690 V - 50/60 Hz | Color: Black
1315734,BBS45-2,Application: Motor protective circuit breaker MPW18/40 | Number of poles: Standard BBS | Rated insulation voltage: 690 V - 50/60 Hz | Color: Black
1315747,ECCMP-C016,Application: MPW16/CWC016 | Type: ECCMP | Rated insulation voltage: 690 V - 50/60 Hz | Maximum current: 16 | Color: Black
2852210,ECCMP-18B38,Application: MPW18/CWB9-38 | Type: ECCMP | Rated insulation voltage: 690 V - 50/60 Hz | Maximum current: 38 | Color: Blue
1315748,ECCMP-C025,Application: MPW25/CWC025 | Type: ECCMP | Rated insulation voltage: 690 V - 50/60 Hz | Maximum current: 25 | Color: Black
1315746,ECCMP-C0,Application: MPW25/CWC07-016 | Type: ECCMP | Rated insulation voltage: 690 V - 50/60 Hz | Maximum current: 16 | Color: Black
1315744,ECCMP-25,Application: MPW25/CWM9-25 | Type: ECCMP | Rated insulation voltage: 690 V - 50/60 Hz | Maximum current: 25 | Color: Gray
1315745,ECCMP-32,Application: MPW25/MPW40+CWM32 | Type: ECCMP | Rated insulation voltage: 690 V - 50/60 Hz | Maximum current: 32 | Color: Gray
2852294,ECCMP-40B38,Application: MPW40/CWB9-38 | Type: ECCMP | Rated insulation voltage: 690 V - 50/60 Hz | Maximum current: 38 | Color: Blue
2852295,ECCMP-40B38DC,Application: MPW40/CWB9-38 DC | Type: ECCMP | Rated insulation voltage: 690 V - 50/60 Hz | Maximum current: 38 | Color: Blue
1315755,LST65,Application: MPW65 | Type: LST65 | Rated insulation voltage: 690 V - 50/60 Hz | Maximum current: 65 | Color: Gray
5900880,ECCMP-80B80,Application: MPW80/CWB80 | Type: ECCMP | Rated insulation voltage: 690 V - 50/60 Hz | Maximum current: 80 | Color: Blue
1315743,CSD,Application: Not contain | Application complement: Not contain | Function: Busbar protection (BBS) | Pad printing function: Not specified | Sealing ring: Without seal ring | Material: Plastic | Color: Not specified
1315785,SCMP,Application: Not contain | Application complement: Not contain | Function: Current range protection | Pad printing function: Not specified | Sealing ring: Without seal ring | Material: Plastic | Color: Not specified
1309168,CSW-LPH,Application: Pushbutton and pilot light CSW | Size: 30 x 50 mm | MATERIAL: Plastic
1315923,AR30,Application: Pushbutton and pilot light CSW-AR30 | Type: Reduction | Format: Circular | External dimension: D30.0 mm | Internal dimension: d22.50 mm | Thickness: 4.80 mm | Finish / color: Standard material
5903030,CSW-BIDLB-4D61,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW B | SUPPLY VOLTAGE: 110-130V50/60Hz | LAMP VOLTAGE: Unspecified | Dissipation power (W): 1.3 | COLOR: Blue
5903028,CSW-BIDLB-2D61,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW B | SUPPLY VOLTAGE: 110-130V50/60Hz | LAMP VOLTAGE: Unspecified | Dissipation power (W): 1.3 | COLOR: Green
5903027,CSW-BIDLB-1D61,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW B | SUPPLY VOLTAGE: 110-130V50/60Hz | LAMP VOLTAGE: Unspecified | Dissipation power (W): 1.3 | COLOR: Red
5900711,CSW-BIDLB0D61,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW B | SUPPLY VOLTAGE: 110-130V50/60Hz | LAMP VOLTAGE: Unspecified | Dissipation power (W): 1.3 | COLOR: White/Colourless
5903029,CSW-BIDLB-3D61,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW B | SUPPLY VOLTAGE: 110-130V50/60Hz | LAMP VOLTAGE: Unspecified | Dissipation power (W): 1.3 | COLOR: Yellow
2852227,CSW-BIDLF1D61,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 110-130V50/60Hz | LAMP VOLTAGE: Unspecified | Dissipation power (W): 1.3 | COLOR: Red
2852239,CSW-BIDLF3D61,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 110-130V50/60Hz | LAMP VOLTAGE: Unspecified | Dissipation power (W): 1.3 | COLOR: Yellow
5740393,CSW-BIDLF0E10,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 110-130V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 1.3 | COLOR: White/Colourless
2852247,CSW-BIDLF4E25,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 12V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.12 | COLOR: Blue
2852235,CSW-BIDLF2E25,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 12V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.12 | COLOR: Green
2852229,CSW-BIDLF1E25,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 12V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.12 | COLOR: Red
2852223,CSW-BIDLF0E25,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 12V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.12 | COLOR: White/Colourless
2852241,CSW-BIDLF3E25,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 12V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.12 | COLOR: Yellow
2852246,CSW-BIDLF4D66,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 220-240V50/60Hz | LAMP VOLTAGE: Unspecified | Dissipation power (W): 2.4 | COLOR: Blue
2852234,CSW-BIDLF2D66,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 220-240V50/60Hz | LAMP VOLTAGE: Unspecified | Dissipation power (W): 2.4 | COLOR: Green
2852228,CSW-BIDLF1D66,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 220-240V50/60Hz | LAMP VOLTAGE: Unspecified | Dissipation power (W): 2.4 | COLOR: Red
2852222,CSW-BIDLF0D66,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 220-240V50/60Hz | LAMP VOLTAGE: Unspecified | Dissipation power (W): 2.4 | COLOR: White/Colourless
2852240,CSW-BIDLF3D66,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 220-240V50/60Hz | LAMP VOLTAGE: Unspecified | Dissipation power (W): 2.4 | COLOR: Yellow
2852248,CSW-BIDLF4E26,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 24V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.24 | COLOR: Blue
2852236,CSW-BIDLF2E26,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 24V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.24 | COLOR: Green
2852230,CSW-BIDLF1E26,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 24V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.24 | COLOR: Red
2852224,CSW-BIDLF0E26,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 24V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.24 | COLOR: White/Colourless
2852242,CSW-BIDLF3E26,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 24V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.24 | COLOR: Yellow
2852249,CSW-BIDLF4E27,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 48V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.48 | COLOR: Blue
2852237,CSW-BIDLF2E27,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 48V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.48 | COLOR: Green
2852231,CSW-BIDLF1E27,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 48V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.48 | COLOR: Red
2852225,CSW-BIDLF0E27,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 48V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.48 | COLOR: White/Colourless
2852243,CSW-BIDLF3E27,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct w/integrated LED-CSW F | SUPPLY VOLTAGE: 48V50/60Hz-DC | LAMP VOLTAGE: Unspecified | Dissipation power (W): 0.48 | COLOR: Yellow
5740367,CSW-BIDF,Application: Pushbuttons & amp; pilot lights CSW | TYPE: Direct-CSW F | SUPPLY VOLTAGE: Unspecified | LAMP VOLTAGE: Without lamp | Dissipation power (W): 2.2 | COLOR: Unspecified
5740398,CSW-BIRDFD66,Application: Pushbuttons & amp; pilot lights CSW | TYPE: With resistor+diode-CSW F | SUPPLY VOLTAGE: 220-240V50/60Hz | LAMP VOLTAGE: 130V50/60Hz | Dissipation power (W): 1.3 | COLOR: With incandescent lamp
1315937,CSW-BIRDD66,Application: Pushbuttons & amp; pilot lights CSW | TYPE: With resistor+diodo - CSW | SUPPLY VOLTAGE: 220-240V50/60Hz | LAMP VOLTAGE: 130V50/60Hz | Dissipation power (W): 1.3 | COLOR: With incandescent lamp
1315924,ATR,Application: Pushbuttons and Pilot Lights | Complement: Not specified | Type: ATR hole | Material: Plastic | Finishing/Color: Standard of process
5673947,AF3F,APPLICATION: Pushbuttons and Pilot Lights | TYPE: Spare - AF | NUMBER OF POSITIONS: 3 Positions - Line CSW F
5902909,AF5F X5,APPLICATION: Pushbuttons and Pilot Lights | TYPE: Spare - AF | NUMBER OF POSITIONS: 5 Positions - Line CSW F
5740053,AF5F,APPLICATION: Pushbuttons and Pilot Lights | TYPE: Spare - AF | NUMBER OF POSITIONS: 5 Positions - Line CSW F
2852058,ACB5-33,Application: Single pushbutton (B) | Application complement: Not contain | Function: Color change (AC) | Pad printing function: clockwise | Sealing ring: Without seal ring | Material: Plastic | Color: 5-Black
2852059,ACB5-34,Application: Single pushbutton (B) | Application complement: Not contain | Function: Color change (AC) | Pad printing function: Counterclockwise | Sealing ring: Without seal ring | Material: Plastic | Color: 5-Black
2852050,ACB1,Application: Single pushbutton (B) | Application complement: Not contain | Function: Color change (AC) | Pad printing function: General | Sealing ring: Without seal ring | Material: Plastic | Color: 1-Red
2852051,ACB2,Application: Single pushbutton (B) | Application complement: Not contain | Function: Color change (AC) | Pad printing function: General | Sealing ring: Without seal ring | Material: Plastic | Color: 2-Green
2852052,ACB3,Application: Single pushbutton (B) | Application complement: Not contain | Function: Color change (AC) | Pad printing function: General | Sealing ring: Without seal ring | Material: Plastic | Color: 3-Yellow
2852053,ACB4,Application: Single pushbutton (B) | Application complement: Not contain | Function: Color change (AC) | Pad printing function: General | Sealing ring: Without seal ring | Material: Plastic | Color: 4-Blue
2852054,ACB5,Application: Single pushbutton (B) | Application complement: Not contain | Function: Color change (AC) | Pad printing function: General | Sealing ring: Without seal ring | Material: Plastic | Color: 5-Black
2852057,ACB5-32,Application: Single pushbutton (B) | Application complement: Not contain | Function: Color change (AC) | Pad printing function: Linear motion | Sealing ring: Without seal ring | Material: Plastic | Color: 5-Black
2852049,ACB0,Application: Single pushbutton (B) | Application complement: Not contain | Function: Color change (AC) | Pad printing function: Not specified | Sealing ring: Without seal ring | Material: Plastic | Color: 0-White/Colourless
2852055,ACB1-30,Application: Single pushbutton (B) | Application complement: Not contain | Function: Color change (AC) | Pad printing function: Off | Sealing ring: Without seal ring | Material: Plastic | Color: 1-Red
2852056,ACB5-31,Application: Single pushbutton (B) | Application complement: Not contain | Function: Color change (AC) | Pad printing function: On | Sealing ring: Without seal ring | Material: Plastic | Color: 5-Black
5900560,ACB4-37,Application: Single pushbutton (B) | Application complement: Not contain | Function: Color change (AC) | Pad printing function: RESET | Sealing ring: Without seal ring | Material: Plastic | Color: 4-Blue
2852060,ACB5-35,Application: Single pushbutton (B) | Application complement: Not contain | Function: Color change (AC) | Pad printing function: Supply | Sealing ring: Without seal ring | Material: Plastic | Color: 5-Black
1315756,MA45DOL,Application: To motor protector and contactor | Adapter function: For mounting | Type of starter of enclosure: Direct motor starter | Width adapter: 45 mm | Adapter material: Of plastic
1315757,MA90RVS,Application: To motor protector and contactor | Adapter function: For mounting | Type of starter of enclosure: Reversing motor starter | Width adapter: 90 mm | Adapter material: Of plastic
1315758,MA90SDS,Application: To motor protector and contactor | Adapter function: For mounting | Type of starter of enclosure: Star-delta motor starter | Width adapter: 90 mm | Adapter material: Of plastic
2852865,UMBW-BB-1-CFC,Application: UL miniature circuit breaker | Description: Busbar | Current rating: 115 A | Number of poles: 1 pole | Maximum voltage: 600 Vac/Vdc | Model: UMBW-BB-1-CFC
2852866,UMBW-BB-4-CFC,Application: UL miniature circuit breaker | Description: Busbar | Current rating: 115 A | Number of poles: 2/3 poles | Maximum voltage: 600 Vac/Vdc | Model: UMBW-BB-4-CFC
2853025,UMBW-BB-4-1A,Application: UL miniature circuit breaker | Description: Busbar | Current rating: 80/160 A | Number of poles: 37 poles | Maximum voltage: 1000 Vac/Vdc | Model: UMBW-BB-4-1A
2852662,UMBW-BB-1-1A,Application: UL miniature circuit breaker | Description: Busbar | Current rating: 80/160 A | Number of poles: 37 poles | Maximum voltage: 600 Vac/1000 Vdc | Model: UMBW-BB-1-1A
2852845,UMBW-BB-1-2A,Application: UL miniature circuit breaker | Description: Busbar | Current rating: 80/160 A | Number of poles: 46 poles | Maximum voltage: 600 Vac/Vdc | Model: UMBW-BB-1-2A
