file-name,catalog-number,main-image,additional-description
coil-install-tool-M1018.xhtml,M1018,https://www.ezlok.com/assets/products/coil-installation-tool-MED_Main-1.jpg,<h5>E-Z Coil Installation Tool - 5/8; M16</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1020.xhtml,M1020,https://www.ezlok.com/assets/products/coil-installation-tool-LRG_Main-1.jpg,<h5>E-Z Coil Installation Tool - 3/4; M18</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1021.xhtml,M1021,https://www.ezlok.com/assets/products/coil-installation-tool-LRG_Main-1.jpg,<h5>E-Z Coil Installation Tool - 3/4-16; M20</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1022.xhtml,M1022,https://www.ezlok.com/assets/products/coil-installation-tool-LRG_Main-1.jpg,<h5>E-Z Coil Installation Tool - 7/8; M22</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1023.xhtml,M1023,https://www.ezlok.com/assets/products/coil-installation-tool-LRG_Main-1.jpg,"<h5>E-Z Coil Installation Tool - 1""; M24</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
coil-install-tool-M1024.xhtml,M1024,https://www.ezlok.com/assets/products/coil-installation-tool-XLG_Main-1.jpg,<h5>E-Z Coil Installation Tool - 1-1/8-7</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1025.xhtml,M1025,https://www.ezlok.com/assets/products/coil-installation-tool-XLG_Main-1.jpg,<h5>E-Z Coil Installation Tool - 1-1/4-7</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1026.xhtml,M1026,https://www.ezlok.com/assets/products/coil-installation-tool-XLG_Main-1.jpg,<h5>E-Z Coil Installation Tool - 1-3/8-6</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1027.xhtml,M1027,https://www.ezlok.com/assets/products/coil-installation-tool-XLG_Main-1.jpg,<h5>E-Z Coil Installation Tool - 1-1/2-6</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1028.xhtml,M1028,https://www.ezlok.com/assets/products/coil-installation-tool-XLG_Main-1.jpg,<h5>E-Z Coil Installation Tool - 1-1/8-12</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1029.xhtml,M1029,https://www.ezlok.com/assets/products/coil-installation-tool-XLG_Main-1.jpg,<h5>E-Z Coil Installation Tool - 1-1/4-12</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1030.xhtml,M1030,https://www.ezlok.com/assets/products/coil-installation-tool-XLG_Main-1.jpg,<h5>E-Z Coil Installation Tool - 1-3/8-12</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1031.xhtml,M1031,https://www.ezlok.com/assets/products/coil-installation-tool-XLG_Main-1.jpg,<h5>E-Z Coil Installation Tool - 1-1/2-12</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1032.xhtml,M1032,https://www.ezlok.com/assets/products/coil-installation-tool-XLG_Main-1.jpg,<h5>E-Z Coil Installation Tool - M27-3.0</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1033.xhtml,M1033,https://www.ezlok.com/assets/products/coil-installation-tool-XLG_Main-1.jpg,<h5>E-Z Coil Installation Tool - M30-3.5</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1034.xhtml,M1034,https://www.ezlok.com/assets/products/coil-installation-tool-XLG_Main-1.jpg,<h5>E-Z Coil Installation Tool - M33-3.5</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1035.xhtml,M1035,https://www.ezlok.com/assets/products/coil-installation-tool-XLG_Main-1.jpg,<h5>E-Z Coil Installation Tool - M36-4.0</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-install-tool-M1036.xhtml,M1036,https://www.ezlok.com/assets/products/coil-installation-tool-XLG_Main-1.jpg,<h5>E-Z Coil Installation Tool - M39-4.0</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>
coil-tang-tool-T2002.xhtml,T2002,https://www.ezlok.com/assets/products/coil-installation-tangbreak_Main-1.jpg,<h5>E-Z Coil Tang Break Off Tool (Internal Threads: #2)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>
coil-tang-tool-T2004.xhtml,T2004,https://www.ezlok.com/assets/products/coil-installation-tangbreak_Main-1.jpg,<h5>E-Z Coil Tang Break Off Tool (Internal Threads: #4)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>
coil-tang-tool-T2005.xhtml,T2005,https://www.ezlok.com/assets/products/coil-installation-tangbreak_Main-1.jpg,<h5>E-Z Coil Tang Break Off Tool (Internal Threads: #6)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>
coil-tang-tool-T2006.xhtml,T2006,https://www.ezlok.com/assets/products/coil-installation-tangbreak_Main-1.jpg,<h5>E-Z Coil Tang Break Off Tool (Internal Threads: #8 and 10-24)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>
coil-tang-tool-T2008.xhtml,T2008,https://www.ezlok.com/assets/products/coil-installation-tangbreak_Main-1.jpg,<h5>E-Z Coil Tang Break Off Tool (Internal Threads: 10-32)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>
coil-tang-tool-T2009.xhtml,T2009,https://www.ezlok.com/assets/products/coil-installation-tangbreak_Main-1.jpg,<h5>E-Z Coil Tang Break Off Tool (Internal Threads: 1/4)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>
coil-tang-tool-T2010.xhtml,T2010,https://www.ezlok.com/assets/products/coil-installation-tangbreak_Main-1.jpg,<h5>E-Z Coil Tang Break Off Tool (Internal Threads: 5/16-18)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>
coil-tang-tool-T2011.xhtml,T2011,https://www.ezlok.com/assets/products/coil-installation-tangbreak_Main-1.jpg,<h5>E-Z Coil Tang Break Off Tool (Internal Threads: 5/16-24; M8)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>
coil-tang-tool-T2012.xhtml,T2012,https://www.ezlok.com/assets/products/coil-installation-tangbreak_Main-1.jpg,<h5>E-Z Coil Tang Break Off Tool (Internal Threads: 3/8-16)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>
coil-tang-tool-T2013.xhtml,T2013,https://www.ezlok.com/assets/products/coil-installation-tangbreak_Main-1.jpg,<h5>E-Z Coil Tang Break Off Tool (Internal Threads: 3/8-24; M10)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>
coil-tang-tool-T2014.xhtml,T2014,https://www.ezlok.com/assets/products/coil-installation-tangbreak_Main-1.jpg,<h5>E-Z Coil Tang Break Off Tool (Internal Threads: 7/16)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>
coil-tang-tool-T2015.xhtml,T2015,https://www.ezlok.com/assets/products/coil-installation-tangbreak_Main-1.jpg,<h5>E-Z Coil Tang Break Off Tool (Internal Threads: 1/2)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>
drill-tool-20060.xhtml,20060,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - 3/32</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-20160.xhtml,20160,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - #36</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-20360.xhtml,20360,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - #29</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-20760.xhtml,20760,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - 15/64</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-21460.xhtml,21460,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - 21/32</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-21560.xhtml,21560,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - 25/32</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-21660.xhtml,21660,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - 29/32</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-21760.xhtml,21760,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - 1-1/32</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-31460.xhtml,31460,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - 41/64</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-31560.xhtml,31560,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - 49/64</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-31660.xhtml,31660,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - 57/64</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-31760.xhtml,31760,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - 1-1/64</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-360-1332.xhtml,360-1332,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - 13/32</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-360-1732.xhtml,360-1732,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - 17/32</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-360-2764.xhtml,360-2764,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - 27/64</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
drill-tool-360-3164-25.xhtml,360-3164-25,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,"<h5>E-Z LOK Drill - HSS - 31/64 - 1/4"" Shank</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>"
drill-tool-360-3164.xhtml,360-3164,https://www.ezlok.com/assets/products/coil-installation-drill_Main-1.jpg,<h5>E-Z LOK Drill - HSS - 31/64</h5><p>Our standard drill for use in preparing the hole for installation</p><h5>Features</h5><ul><li>Standard drill to prepare the hole for installation</li></ul><h5>Applications:</h5><ul><li>Preparing the hole for installation</li></ul>
