file_name,catalog_number,attribute_name,attribute_value
1%20(139),100953,Clamping Force (lbs),750
1%20(139),100953,Clamp Port Size,0.125 Port Dia.
1%20(139),100953,Action Type,Single Acting
1%20(139),100953,Direction Of Rotation,Straight Pull
1%20(139),100953,Mounting Thread Size,1-5/16 - 12UN
1%20(14),110050,Actuation Type,Manual
1%20(14),110050,Max Operating Pressure (psi),5000
1%20(140),100954,Clamp Body Style,Manifold
1%20(140),100954,Clamping Force (lbs),750
1%20(140),100954,Clamp Port Size,Manifold
1%20(140),100954,Action Type,Single Acting
1%20(140),100954,Direction Of Rotation,Left
1%20(140),100954,Mounting Thread Size,10-24 UNC SHCS
1%20(141),100955,Clamp Body Style,Manifold
1%20(141),100955,Clamping Force (lbs),750
1%20(141),100955,Clamp Port Size,Manifold
1%20(141),100955,Action Type,Single Acting
1%20(141),100955,Direction Of Rotation,Right
1%20(141),100955,Mounting Thread Size,10-24 UNC SHCS
1%20(142),100956,Clamp Body Style,Manifold
1%20(142),100956,Clamping Force (lbs),750
1%20(142),100956,Clamp Port Size,Manifold
1%20(142),100956,Action Type,Single Acting
1%20(142),100956,Direction Of Rotation,Straight Pull
1%20(142),100956,Mounting Thread Size,10-24 UNC SHCS
1%20(143),100957,Clamp Body Style,Cartridge
1%20(143),100957,Clamping Force (lbs),750
1%20(143),100957,Clamp Port Size,0.125 Port Dia.
1%20(143),100957,Action Type,Double Acting
1%20(143),100957,Direction Of Rotation,Left
1%20(143),100957,Mounting Thread Size,1-5/16 - 12UN
1%20(144),100958,Clamp Body Style,Cartridge
1%20(144),100958,Clamping Force (lbs),750
1%20(144),100958,Clamp Port Size,0.125 Port Dia.
1%20(144),100958,Action Type,Double Acting
1%20(144),100958,Direction Of Rotation,Right
1%20(144),100958,Mounting Thread Size,1-5/16 - 12UN
1%20(145),100959,Clamp Body Style,Cartridge
1%20(145),100959,Clamping Force (lbs),750
1%20(145),100959,Clamp Port Size,0.125 Port Dia.
1%20(145),100959,Action Type,Double Acting
1%20(145),100959,Direction Of Rotation,Straight Pull
1%20(145),100959,Mounting Thread Size,1-5/16 - 12UN
1%20(146),100960,Clamp Body Style,Cartridge
1%20(146),100960,Clamping Force (lbs),2400
1%20(146),100960,Clamp Port Size,0.125 Port Dia.
1%20(146),100960,Action Type,Double Acting
1%20(146),100960,Direction Of Rotation,Left
1%20(146),100960,Mounting Thread Size,1-7/8 - 12UN
1%20(147),100961,Clamp Body Style,Cartridge
1%20(147),100961,Clamping Force (lbs),2400
1%20(147),100961,Clamp Port Size,0.125 Port Dia.
1%20(147),100961,Action Type,Double Acting
1%20(147),100961,Direction Of Rotation,Right
1%20(147),100961,Mounting Thread Size,1-7/8 - 12UN
1%20(148),100962,Clamp Body Style,Cartridge
1%20(148),100962,Clamping Force (lbs),2400
1%20(148),100962,Clamp Port Size,0.125 Port Dia.
1%20(148),100962,Action Type,Double Acting
1%20(148),100962,Direction Of Rotation,Straight Pull
1%20(148),100962,Mounting Thread Size,1-7/8 - 12UN
1%20(149),100963,Clamp Body Style,Manifold
1%20(149),100963,Clamping Force (lbs),2400
1%20(149),100963,Clamp Port Size,Manifold
1%20(149),100963,Action Type,Double Acting
1%20(149),100963,Direction Of Rotation,Left
1%20(149),100963,Mounting Thread Size,5/16-18 UNC SHCS
1%20(15),110051,Actuation Type,Manual
1%20(15),110051,Max Operating Pressure (psi),5000
1%20(150),100964,Clamp Body Style,Manifold
1%20(150),100964,Clamping Force (lbs),2400
1%20(150),100964,Clamp Port Size,Manifold
1%20(150),100964,Action Type,Double Acting
1%20(150),100964,Direction Of Rotation,Right
1%20(150),100964,Mounting Thread Size,5/16-18 UNC SHCS
1%20(151),100965,Clamp Body Style,Manifold
1%20(151),100965,Clamping Force (lbs),2400
1%20(151),100965,Clamp Port Size,Manifold
1%20(151),100965,Action Type,Double Acting
1%20(151),100965,Direction Of Rotation,Straight Pull
1%20(151),100965,Mounting Thread Size,5/16-18 UNC SHCS
1%20(152),100976,Clamp Body Style,Manifold
1%20(152),100976,Clamping Force (lbs),750
1%20(152),100976,Clamp Port Size,Manifold
1%20(152),100976,Action Type,Double Acting
1%20(152),100976,Direction Of Rotation,Left
1%20(152),100976,Mounting Thread Size,10-24 UNC SHCS
1%20(153),100977,Clamp Body Style,Manifold
1%20(153),100977,Clamping Force (lbs),750
1%20(153),100977,Clamp Port Size,Manifold
1%20(153),100977,Action Type,Double Acting
1%20(153),100977,Direction Of Rotation,Right
1%20(153),100977,Mounting Thread Size,10-24 UNC SHCS
1%20(154),100978,Clamp Body Style,Manifold
1%20(154),100978,Clamping Force (lbs),750
1%20(154),100978,Clamp Port Size,Manifold
1%20(154),100978,Action Type,Double Acting
1%20(154),100978,Direction Of Rotation,Straight Pull
1%20(154),100978,Mounting Thread Size,10-24 UNC SHCS
1%20(155),100979,Mounting Thread Size,1-1/16 - 16UN
1%20(156),100980,Outside Diameter (in),1.5
1%20(156),100980,Mounting Thread Size,1-1/16 - 16UN
1%20(157),100986,Clamping Force (lbs),2000
1%20(157),100986,Type,Mounting Manifold
1%20(158),100988,Clamp Body Style,Cartridge
1%20(158),100988,Clamping Force (lbs),5000
1%20(158),100988,Clamp Port Size,0.125 Port Dia.
1%20(158),100988,Action Type,Double Acting
1%20(158),100988,Direction Of Rotation,Left
1%20(158),100988,Mounting Thread Size,2-1/2 - 12UNC
1%20(159),100989,Clamp Body Style,Cartridge
1%20(159),100989,Clamping Force (lbs),5000
1%20(159),100989,Clamp Port Size,0.125 Port Dia.
1%20(159),100989,Action Type,Double Acting
1%20(159),100989,Direction Of Rotation,Right
1%20(159),100989,Mounting Thread Size,2-1/2 - 12UNC
1%20(16),110052,Actuation Type,Manual
1%20(16),110052,Max Operating Pressure (psi),5000
1%20(160),100990,Clamp Body Style,Cartridge
1%20(160),100990,Clamping Force (lbs),5000
1%20(160),100990,Clamp Port Size,0.125 Port Dia.
1%20(160),100990,Action Type,Double Acting
1%20(160),100990,Direction Of Rotation,Straight Pull
1%20(160),100990,Mounting Thread Size,2-1/2 - 12UNC
1%20(161),110001,Clamp Body Style,Threaded
1%20(161),110001,Clamping Force (lbs),365
1%20(161),110001,Clamp Port Size,5/16-24 UNF SAE-2
1%20(161),110001,Action Type,Single Acting
1%20(161),110001,Direction Of Rotation,Left
1%20(161),110001,Mounting Thread Size,1-1/16 - 16UN
1%20(162),110002,Clamp Body Style,Threaded
1%20(162),110002,Clamping Force (lbs),365
1%20(162),110002,Clamp Port Size,5/16-24 UNF SAE-2
1%20(162),110002,Action Type,Single Acting
1%20(162),110002,Direction Of Rotation,Right
1%20(162),110002,Mounting Thread Size,1-1/16 - 16UN
1%20(163),110003,Clamp Body Style,Threaded
1%20(163),110003,Clamping Force (lbs),365
1%20(163),110003,Clamp Port Size,5/16-24 UNF SAE-2
1%20(163),110003,Action Type,Single Acting
1%20(163),110003,Direction Of Rotation,Straight Pull
1%20(163),110003,Mounting Thread Size,1-1/16 - 16UN
1%20(164),110004,Clamp Body Style,Threaded
1%20(164),110004,Clamping Force (lbs),365
1%20(164),110004,Clamp Port Size,5/16-24 UNF SAE-2
1%20(164),110004,Action Type,Double Acting
1%20(164),110004,Direction Of Rotation,Left
1%20(164),110004,Mounting Thread Size,1-1/16 - 16UN
1%20(165),110005,Clamp Body Style,Threaded
1%20(165),110005,Clamping Force (lbs),365
1%20(165),110005,Clamp Port Size,5/16-24 UNF SAE-2
1%20(165),110005,Action Type,Double Acting
1%20(165),110005,Direction Of Rotation,Right
1%20(165),110005,Mounting Thread Size,1-1/16 - 16UN
1%20(166),110006,Clamp Body Style,Threaded
1%20(166),110006,Clamping Force (lbs),365
1%20(166),110006,Clamp Port Size,5/16-24 UNF SAE-2
1%20(166),110006,Action Type,Double Acting
1%20(166),110006,Direction Of Rotation,Straight Pull
1%20(166),110006,Mounting Thread Size,1-1/16 - 16UN
1%20(167),110007,Clamp Body Style,Manifold
1%20(167),110007,Clamping Force (lbs),365
1%20(167),110007,Clamp Port Size,Manifold
1%20(167),110007,Action Type,Single Acting
1%20(167),110007,Direction Of Rotation,Left
1%20(167),110007,Mounting Thread Size,10-24 UNC SHCS
1%20(168),110008,Clamp Body Style,Manifold
1%20(168),110008,Clamping Force (lbs),365
1%20(168),110008,Clamp Port Size,Manifold
1%20(168),110008,Action Type,Single Acting
1%20(168),110008,Direction Of Rotation,Right
1%20(168),110008,Mounting Thread Size,10-24 UNC SHCS
1%20(169),110009,Clamp Body Style,Manifold
1%20(169),110009,Clamping Force (lbs),365
1%20(169),110009,Clamp Port Size,Manifold
1%20(169),110009,Action Type,Single Acting
1%20(169),110009,Direction Of Rotation,Straight Pull
1%20(169),110009,Mounting Thread Size,10-24 UNC SHCS
1%20(17),110170,Product Specification,Standard Manifold Without Check Valve
1%20(17),110170,Max Operating Pressure (psi),5000
1%20(170),110010,Clamp Body Style,Manifold
1%20(170),110010,Clamping Force (lbs),365
1%20(170),110010,Clamp Port Size,Manifold
1%20(170),110010,Action Type,Double Acting
1%20(170),110010,Direction Of Rotation,Left
1%20(170),110010,Mounting Thread Size,10-24 UNC SHCS
1%20(171),110011,Clamp Body Style,Manifold
1%20(171),110011,Clamping Force (lbs),365
1%20(171),110011,Clamp Port Size,Manifold
1%20(171),110011,Action Type,Double Acting
1%20(171),110011,Direction Of Rotation,Right
1%20(171),110011,Mounting Thread Size,10-24 UNC SHCS
1%20(172),110012,Clamp Body Style,Manifold
1%20(172),110012,Clamping Force (lbs),365
1%20(172),110012,Clamp Port Size,Manifold
1%20(172),110012,Action Type,Double Acting
1%20(172),110012,Direction Of Rotation,Straight Pull
1%20(172),110012,Mounting Thread Size,10-24 UNC SHCS
1%20(173),110013,Clamp Body Style,Cartridge
1%20(173),110013,Clamping Force (lbs),365
1%20(173),110013,Clamp Port Size,0.125 Port Dia.
1%20(173),110013,Action Type,Single Acting
1%20(173),110013,Direction Of Rotation,Left
1%20(173),110013,Mounting Thread Size,1-1/16 - 12UN
1%20(174),110014,Clamp Body Style,Cartridge
1%20(174),110014,Clamping Force (lbs),365
1%20(174),110014,Clamp Port Size,0.125 Port Dia.
1%20(174),110014,Action Type,Single Acting
1%20(174),110014,Direction Of Rotation,Right
1%20(174),110014,Mounting Thread Size,1-1/16 - 12UN
1%20(175),110015,Clamp Body Style,Cartridge
1%20(175),110015,Clamping Force (lbs),365
1%20(175),110015,Clamp Port Size,0.125 Port Dia.
1%20(175),110015,Action Type,Single Acting
1%20(175),110015,Direction Of Rotation,Straight Pull
1%20(175),110015,Mounting Thread Size,1-1/16 - 12UN
1%20(176),110016,Clamp Body Style,Cartridge
1%20(176),110016,Clamping Force (lbs),365
1%20(176),110016,Clamp Port Size,0.125 Port Dia.
1%20(176),110016,Action Type,Double Acting
1%20(176),110016,Direction Of Rotation,Left
1%20(176),110016,Mounting Thread Size,1-1/16 - 12UN
1%20(177),110017,Clamp Body Style,Cartridge
1%20(177),110017,Clamping Force (lbs),365
1%20(177),110017,Clamp Port Size,0.125 Port Dia.
1%20(177),110017,Action Type,Double Acting
1%20(177),110017,Direction Of Rotation,Right
1%20(177),110017,Mounting Thread Size,1-1/16 - 12UN
1%20(178),110018,Clamp Body Style,Cartridge
1%20(178),110018,Clamping Force (lbs),365
1%20(178),110018,Clamp Port Size,0.125 Port Dia.
1%20(178),110018,Action Type,Double Acting
1%20(178),110018,Direction Of Rotation,Straight Pull
1%20(178),110018,Mounting Thread Size,1-1/16 - 12UN
1%20(179),110053,Clamp Body Style,Lower Flange - Bottom Port
1%20(179),110053,Clamping Force (lbs),750
1%20(179),110053,Clamp Port Size,SAE O-Ring (0.309 Dia Port)
1%20(179),110053,Action Type,Double Acting
1%20(179),110053,Direction Of Rotation,Left
1%20(179),110053,Mounting Thread Size,1/4-20 UNC SHCS
1%20(18),110171,Product Specification,Handle Assembly
1%20(18),110171,Max Operating Pressure (psi),5000
1%20(180),110054,Clamp Body Style,Lower Flange - Bottom Port
1%20(180),110054,Clamping Force (lbs),750
1%20(180),110054,Clamp Port Size,SAE O-Ring (0.309 Dia Port)
1%20(180),110054,Action Type,Double Acting
1%20(180),110054,Direction Of Rotation,Right
1%20(180),110054,Mounting Thread Size,1/4-20 UNC SHCS
1%20(181),110055,Clamp Body Style,Lower Flange - Bottom Port
1%20(181),110055,Clamping Force (lbs),750
1%20(181),110055,Clamp Port Size,SAE O-Ring (0.309 Dia Port)
1%20(181),110055,Action Type,Double Acting
1%20(181),110055,Direction Of Rotation,Straight Pull
1%20(181),110055,Mounting Thread Size,1/4-20 UNC SHCS
1%20(182),110056,Clamp Body Style,Lower Flange - Bottom Port
1%20(182),110056,Clamping Force (lbs),750
1%20(182),110056,Clamp Port Size,SAE O-Ring (0.309 Dia Port)
1%20(182),110056,Action Type,Single Acting
1%20(182),110056,Direction Of Rotation,Left
1%20(182),110056,Mounting Thread Size,1/4-20 UNC SHCS
1%20(183),110057,Clamp Body Style,Lower Flange - Bottom Port
1%20(183),110057,Clamping Force (lbs),750
1%20(183),110057,Clamp Port Size,SAE O-Ring (0.309 Dia Port)
1%20(183),110057,Action Type,Single Acting
1%20(183),110057,Direction Of Rotation,Right
1%20(183),110057,Mounting Thread Size,1/4-20 UNC SHCS
1%20(184),110058,Clamp Body Style,Lower Flange - Bottom Port
1%20(184),110058,Clamping Force (lbs),750
1%20(184),110058,Clamp Port Size,SAE O-Ring (0.309 Dia Port)
1%20(184),110058,Action Type,Single Acting
1%20(184),110058,Direction Of Rotation,Straight Pull
1%20(184),110058,Mounting Thread Size,1/4-20 UNC SHCS
1%20(185),110079,Clamp Body Style,Lower Flange - Bottom Port
1%20(185),110079,Clamping Force (lbs),2400
1%20(185),110079,Clamp Port Size,SAE O-Ring (0.309 Dia Port)
1%20(185),110079,Action Type,Single Acting
1%20(185),110079,Direction Of Rotation,Left
1%20(185),110079,Mounting Thread Size,5/16-18 UNC SHCS
1%20(186),110080,Clamp Body Style,Lower Flange - Bottom Port
1%20(186),110080,Clamping Force (lbs),2400
1%20(186),110080,Clamp Port Size,SAE O-Ring (0.309 Dia Port)
1%20(186),110080,Action Type,Single Acting
1%20(186),110080,Direction Of Rotation,Right
1%20(186),110080,Mounting Thread Size,5/16-18 UNC SHCS
1%20(187),110081,Clamp Body Style,Lower Flange - Bottom Port
1%20(187),110081,Clamping Force (lbs),2400
1%20(187),110081,Clamp Port Size,SAE O-Ring (0.309 Dia Port)
1%20(187),110081,Action Type,Single Acting
1%20(187),110081,Direction Of Rotation,Straight Pull
1%20(187),110081,Mounting Thread Size,5/16-18 UNC SHCS
1%20(188),110082,Clamp Body Style,Lower Flange - Bottom Port
1%20(188),110082,Clamping Force (lbs),2400
1%20(188),110082,Clamp Port Size,SAE O-Ring (0.309 Dia Port)
1%20(188),110082,Action Type,Double Acting
1%20(188),110082,Direction Of Rotation,Left
1%20(188),110082,Mounting Thread Size,5/16-18 UNC SHCS
1%20(189),110083,Clamp Body Style,Lower Flange - Bottom Port
1%20(189),110083,Clamping Force (lbs),2400
1%20(189),110083,Clamp Port Size,SAE O-Ring (0.309 Dia Port)
1%20(189),110083,Action Type,Double Acting
1%20(189),110083,Direction Of Rotation,Right
1%20(189),110083,Mounting Thread Size,5/16-18 UNC SHCS
1%20(19),110172,Product Specification,"Coupler, Male-Half (Replacement)"
1%20(19),110172,Max Operating Pressure (psi),5000
1%20(190),110084,Clamp Body Style,Lower Flange - Bottom Port
1%20(190),110084,Clamping Force (lbs),2400
1%20(190),110084,Clamp Port Size,SAE O-Ring (0.309 Dia Port)
1%20(190),110084,Action Type,Double Acting
1%20(190),110084,Direction Of Rotation,Straight Pull
1%20(190),110084,Mounting Thread Size,5/16-18 UNC SHCS
1%20(191),110089,Clamp Body Style,Lower Flange
1%20(191),110089,Clamping Force (lbs),5000
1%20(191),110089,Clamp Port Size,7/16-20 UNF SAE-4
1%20(191),110089,Action Type,Single Acting
1%20(191),110089,Direction Of Rotation,Left
1%20(191),110089,Mounting Thread Size,5/16-18 UNC SHCS
1%20(192),110090,Clamp Body Style,Lower Flange
1%20(192),110090,Clamping Force (lbs),5000
1%20(192),110090,Clamp Port Size,7/16-20 UNF SAE-4
1%20(192),110090,Action Type,Single Acting
1%20(192),110090,Direction Of Rotation,Right
1%20(192),110090,Mounting Thread Size,5/16-18 UNC SHCS
1%20(193),110091,Clamp Body Style,Lower Flange
1%20(193),110091,Clamping Force (lbs),5000
1%20(193),110091,Clamp Port Size,7/16-20 UNF SAE-4
1%20(193),110091,Action Type,Single Acting
1%20(193),110091,Direction Of Rotation,Straight Pull
1%20(193),110091,Mounting Thread Size,5/16-18 UNC SHCS
1%20(194),110092,Clamp Body Style,Lower Flange
1%20(194),110092,Clamping Force (lbs),5000
